AvgTemp,MaxTemp,MinTemp,SeaLevelPressure,AvgHumidity,TotalRainfallSnowmelt,AvgVisibility,AvgWindSpeed,MaxWindSpeed,RainDrizzle,Snow,ThunderStorm,Fog,PM 2.5
8,9.4,1.1,1017.5,42,0,16.1,19.3,31.7,42.4,nan,nan,nan,10.629411764705884
4.4,9.4,3.3,1030.8,68,0,14.5,14.8,29.4,nan,1,nan,nan,9.925
5.6,8.3,3.3,1019.2,89,5.59,7.2,30,35.2,46.5,nan,nan,nan,4.591666666666666
-3.7,1.7,-5.6,1024.3,57,4.83,10.1,20.7,35.2,50,1,nan,1,9.652941176470586
-5.2,-2.2,-7.2,1024.8,55,0.25,14.3,28.7,37,51.9,1,nan,nan,9.2
-6.3,-2.8,-8.3,1037.8,49,0,16.1,19.1,37,50,nan,nan,nan,8.933333333333332
12.1,20,3.3,1024.7,54,1.27,16.1,26.3,40.7,50,nan,nan,nan,7.144444444444447
0.1,3.3,-1.7,1037.8,52,0,13.7,14.6,29.4,40.7,1,nan,nan,7.416666666666668
1.8,5,-1.7,1027,65,2.54,14.2,13.1,22.2,nan,1,nan,nan,10.58181818181818
6.7,10,3.9,1016.5,71,2.79,15.9,11.3,22.2,nan,nan,nan,nan,7.152631578947367
6.2,10,5,1015.9,67,0,15.6,12.2,18.3,nan,nan,nan,nan,8.516666666666666
7.7,11,5,1011.6,82,1.78,9.8,11.1,16.5,nan,nan,nan,nan,14.800000000000002
5.8,10,3.3,1001.5,63,15.49,16.1,27.6,37,50,nan,nan,nan,6.133333333333333
10,13.9,3.9,998.1,56,0,15.9,14.8,40.7,61.1,nan,nan,nan,9.07272727272727
6.5,13.9,5.6,1002.2,46,0.51,16.1,29.1,40.7,64.8,nan,nan,nan,4.83
-0.6,3.3,-2.2,1013.3,52,0,12.7,15.9,27.8,35.2,1,nan,nan,8.582352941176472
5.1,9.4,-2.2,1011.9,55,1.52,16.1,18.7,33.5,46.5,nan,nan,nan,8.655555555555555
5.3,9.4,1.1,1017.3,47,0,16.1,21.7,40.7,48.2,nan,nan,nan,7.1400000000000015
0.3,7.8,-2.2,1021.9,43,0,16.1,19.4,25.9,37,nan,nan,nan,7.025
4.4,7.2,3,1014,81,1.02,10.9,16.3,33.5,35.2,nan,nan,nan,14.763636363636362
8.2,16.7,3.3,1003.3,74,5.33,8,13.1,20.6,37,nan,nan,1,11.78181818181818
2.3,16.7,-4.4,1003.8,66,3.81,8.9,27.8,48.2,66.5,1,nan,1,5.010526315789473
3.4,5.6,0,1006.4,61,10.41,15.3,38.3,66.5,96.5,nan,nan,nan,5.966666666666666
1.4,5.6,-0.6,1013.3,53,0.25,16.1,21.5,44.6,59.4,nan,nan,nan,8.133333333333333
4.9,10,-0.6,1000.8,65,0,15.8,12,38.9,51.9,nan,nan,nan,12.173684210526314
15.8,18.9,13.3,1007.1,36,0,16.1,16.9,24.1,35.2,nan,nan,nan,10.991666666666667
10.8,18.9,7.2,1018.6,40,0,16.1,18.3,27.8,40.7,nan,nan,nan,5.7666666666666675
5.6,12.8,2.2,1027,40,0,16.1,16.3,24.1,40.7,nan,nan,nan,5.847368421052632
13.9,21.1,9.4,1007.7,85,0,11.1,15.7,38.9,51.9,nan,1,1,4.418181818181818
6.9,18.3,3.9,1011.3,48,8.13,15.4,30.6,46.5,64.8,nan,1,nan,5.181818181818183
6.6,12.2,2.8,1026.9,39,0,16.1,17.6,27.8,40.7,nan,nan,nan,9.727777777777778
14.2,21.7,6.7,1008,82,0,13.7,12,24.1,42.4,nan,1,nan,8.881818181818181
12.8,21.7,6.1,1002.1,39,3.05,16.1,37,55.4,83.5,nan,nan,nan,4.883333333333333
2.8,6.1,0,1021.2,34,0,16.1,28.2,38.9,59.4,nan,nan,nan,5.463636363636364
8.1,11.7,-2.2,1026.6,67,0,15.1,14.3,20.6,31.7,nan,nan,nan,12.0
12.1,16.7,6.1,1015.1,52,4.06,15.8,19.1,42.4,53.5,nan,nan,nan,6.305555555555557
14.7,18.3,9.4,1013.4,20,1.52,16.1,27.6,46.5,66.5,nan,nan,nan,4.869999999999999
-2,2.8,-5.6,1030.6,37,0,16.1,16.9,29.4,40.7,nan,nan,nan,6.383333333333333
0.1,2.8,-5,1011.1,77,8.13,5.6,36.1,57.6,79.5,1,nan,1,4.6375
-3.3,1.1,-5,1001.2,55,18.03,15.1,31.7,46.5,66.5,1,nan,nan,4.9
4.7,8.9,1.1,1021.1,54,1.78,16.1,24.1,38.9,46.5,nan,nan,nan,4.166666666666667
6.7,12.2,2.2,1019.3,33,0,16.1,18.5,25.9,37,nan,nan,nan,5.911111111111111
10.3,16.7,2.8,1013,37,0,16.1,11.9,27.8,33.5,nan,nan,nan,9.266666666666667
12.3,14.4,3.3,1020.9,51,0,16.1,12.8,24.1,nan,nan,nan,nan,14.866666666666665
5.7,13.9,3.9,1029.9,73,2.54,16.1,22.6,31.7,nan,nan,nan,nan,6.926315789473684
5.7,10,3.9,1020.8,87,0.51,6.8,15.6,24.1,nan,nan,nan,1,9.316666666666666
6.1,7.8,4,1017.8,73,8.38,9,19.4,33.5,44.6,nan,nan,nan,1.9909090909090912
5.7,8.9,3.9,1008.6,76,45.21,11.3,31.9,46.5,64.8,nan,nan,nan,2.589473684210526
10.3,17.2,6.1,1018,47,0.25,16.1,18,35.2,38.9,nan,nan,nan,3.8538461538461535
13.3,16.7,8.9,1017.9,40,0,16.1,14.1,29.4,31.7,nan,nan,nan,7.2153846153846155
10.1,12.2,6.1,993.3,60,21.08,16.1,24.4,48.2,68.3,nan,nan,nan,2.678947368421053
8.6,14.4,5.6,1007,40,0,16.1,29.6,38.9,64.8,nan,nan,nan,2.733333333333333
12.4,20,5.6,1018.7,31,0,16.1,16.3,29.4,38.9,nan,nan,nan,5.099999999999999
14.7,25,10,1025.7,41,0.76,16.1,18.1,31.7,40.7,nan,nan,nan,3.4631578947368427
14,18.9,10,1028.2,32,0,16.1,13.1,22.2,nan,nan,nan,nan,4.0
14,18.9,10,1027.3,46,0,16.1,15.6,29.4,38.9,nan,nan,nan,5.115384615384615
10,18.3,7.8,1032,63,0,16.1,20.4,27.8,38.9,nan,nan,nan,4.14
12.4,18.9,7.8,1020.5,76,4.83,13.8,12.4,20.6,33.5,nan,nan,nan,7.55
11.3,18.9,9.4,1014.6,83,7.62,12.1,20.7,29.4,nan,nan,nan,1,3.2363636363636363
11.6,15,8.9,1018.1,85,1.78,14.6,30.2,50,61.1,nan,nan,nan,2.317647058823529
12.9,16.7,10,1009.3,90,18.54,7.1,22,44.6,51.9,nan,nan,nan,4.581818181818182
16.7,20.6,11.7,1011.4,82,3.3,8.2,9.4,27.8,31.7,nan,nan,1,6.833333333333332
13.3,22.8,10,1015.2,75,0,10,17.2,27.8,40.7,nan,nan,nan,7.136842105263157
21.4,25.6,10,1002.7,55,0,16.1,23.9,50,68.3,nan,nan,nan,5.025
17.9,25.6,16.1,1010.4,34,0,16.1,26.1,38.9,48.2,nan,nan,nan,2.7538461538461547
14.6,16.1,13.3,998,65,0,16.1,20.7,25.9,42.4,nan,nan,nan,2.29375
11.9,16.7,8.9,1010.2,45,0,16.1,23.2,37,46.5,nan,nan,nan,2.6100000000000003
13.1,17.8,8.9,1013.8,46,0,16.1,17,29.4,33.5,nan,nan,nan,4.588888888888889
11.8,13.3,8.9,1013.2,75,3.3,12.1,20.6,42.4,53.5,nan,nan,nan,1.6411764705882357
13,21.1,8.3,1004.4,65,40.89,14.2,24.8,51.9,72.2,nan,nan,nan,2.272727272727273
16.5,21.1,8.3,1004.8,49,0.25,16.1,33,46.5,75.9,nan,nan,nan,2.6916666666666664
31.1,36.1,26.7,1010.8,42,0,16.1,20.4,27.8,44.6,nan,nan,nan,11.29473684210526
19.6,35.6,16.1,1021.5,46,0.25,15.9,20.2,27.8,48.2,nan,nan,nan,2.6833333333333336
16.9,21.7,13.9,1027.1,41,0,16.1,14.6,25.9,37,nan,nan,nan,1.7166666666666666
14.7,20.6,13.3,1006.7,83,2.54,9.2,21.7,31.7,44.6,nan,nan,nan,1.7882352941176471
17.5,24.4,13.3,1001.3,73,22.61,13.5,20.6,33.5,42.4,nan,1,nan,2.307692307692308
19.7,24.4,13.9,1010.1,61,3.05,16.1,14.8,29.4,40.7,nan,nan,nan,3.0500000000000003
17.3,25.6,12.8,1016,83,2.03,9.2,12.2,20.6,33.5,nan,nan,nan,5.449999999999998
20.8,27.8,14.4,1013,59,1.27,16.1,12.8,27.8,37,nan,1,nan,4.953846153846154
21.4,27.8,15.6,1013.4,37,0,16.1,16.3,35.2,51.9,nan,nan,nan,4.05
18.9,26.1,15,1014.2,41,0,16.1,17,29.4,51.9,nan,nan,nan,3.85
14.8,21.1,11.1,1014.5,65,0.76,15.9,14.8,25.9,nan,nan,nan,nan,2.715384615384615
17.7,21.7,11.1,1015.5,59,0,16.1,10,18.3,40.7,nan,nan,nan,3.723076923076924
19.3,28.3,13.3,1007.9,48,0,16.1,13.3,31.7,38.9,nan,nan,nan,6.752631578947369
32.1,38.3,24.4,1012.4,38,0,16.1,15.7,27.8,37,nan,nan,nan,15.346153846153848
26,34.4,22,1013.5,55,12.19,14.8,14.4,27.8,nan,nan,nan,nan,6.553846153846153
21.5,28.3,17.8,1016.8,47,0.51,16.1,15,27.8,38.9,nan,nan,nan,4.2368421052631575
25.8,30.6,21.1,1009.3,75,0,14.8,20.6,33.5,55.4,nan,1,1,7.21111111111111
24.9,30.6,21.1,1011.8,59,31.24,15.8,20.4,35.2,46.5,nan,nan,nan,3.563636363636364
26.8,30.6,21.1,1012.8,44,0.25,16.1,16.1,33.5,46.5,nan,nan,nan,8.15263157894737
25.7,30,21.1,1013.2,51,4.57,16.1,13.1,31.7,44.6,nan,nan,nan,4.741666666666667
23.3,28.9,19.4,1015.4,47,0,16.1,16.7,31.7,42.4,nan,nan,nan,3.3833333333333333
21.8,27.2,16.7,1014.8,61,4.06,15.8,14.3,31.7,40.7,nan,nan,nan,5.638888888888888
26.1,31.7,23.3,1013.4,75,0,16.1,17.4,35.2,46.5,nan,1,nan,5.36923076923077
26.6,32.8,22.8,1013.6,65,1.78,15.9,13.7,24.1,40.7,nan,nan,nan,5.792307692307693
28.5,32.8,22.8,1014.2,51,0,16.1,13.3,35.2,53.5,nan,1,nan,9.22
