AvgTemp,MaxTemp,MinTemp,SeaLevelPressure,AvgHumidity,TotalRainfallSnowmelt,AvgVisibility,AvgWindSpeed,MaxWindSpeed,RainDrizzle,Snow,ThunderStorm,Fog,PM 2.5
6,8.3,3.3,1023.3,47,0,16.1,19.8,27.8,nan,nan,nan,nan,9.414285714285713
6.1,9,3,1023.1,61,0,16.1,8.9,16.5,1,nan,nan,nan,21.3
8.6,12.2,3.3,1016.6,80,0,13.7,9.1,16.5,1,nan,nan,nan,32.9
-4.6,4.4,-7.2,1021.5,42,0,16.1,30.7,48.2,nan,nan,nan,nan,10.115384615384613
-3.7,-1,-5,1023.8,48,0,16.1,21.3,29.4,nan,nan,nan,nan,14.0
-5.7,-1,-11,1024.6,54,0,16.1,20.4,29.4,nan,1,nan,nan,11.8
3.3,7,-3,1012.6,64,0,16.1,22.4,57.6,nan,nan,nan,nan,15.346666666666668
-9.1,-2.8,-12,1020.2,46,0,16.1,27.4,50,nan,nan,nan,nan,8.25
-10.5,-7,-13,1011.6,69,4.83,9,26.1,59.4,nan,1,nan,nan,9.65
-2.6,2,-5,1002.0,54,13.72,16.1,29.6,40.7,nan,nan,nan,nan,7.471428571428571
-5.1,-2,-8,1011.1,54,0,16.1,31.1,46.5,nan,nan,nan,nan,7.25
-5.8,1.1,-8.3,1018.2,52,0,16.1,25.2,40.7,nan,nan,nan,nan,10.2
-10.3,-5,-13.3,1024.5,43,0,16.1,23.7,37,nan,nan,nan,nan,7.884615384615383
-7.6,-5.6,-13.3,1027.4,43,0,16.1,16.3,25.9,nan,1,nan,nan,8.05
-5.9,-3.9,-8.9,1019.4,78,0,15,27.8,35.2,1,1,nan,nan,12.55
-5.7,-2,-8.3,1008.5,47,0,16.1,25.6,37,nan,nan,nan,nan,13.308333333333332
-2.7,2.2,-8.3,1023.2,54,0,16.1,19.3,35.2,nan,nan,nan,nan,9.3
-1.3,3.9,-5,1031.8,60,0,16.1,10.4,16.5,nan,nan,nan,nan,17.6
-0.3,4.4,-4.4,1024.5,85,21.84,13,16.3,31.3,1,nan,nan,nan,20.13076923076924
3.4,6.7,-2.2,1003.0,82,37.34,13.2,14.1,27.8,1,nan,nan,1,13.35
-2.7,2.8,-7,1021.0,44,0.51,16.1,31.5,42.4,nan,nan,nan,nan,5.1
1.3,6.7,-6.7,1028.7,42,0,16.1,22.2,33.5,nan,nan,nan,nan,18.441666666666674
3.3,6.1,-2.2,1016.5,49,0,16.1,18.9,32.4,nan,nan,nan,nan,22.75
3.3,6.1,1.1,1012.9,44,0,16.1,23.7,33.5,nan,nan,nan,nan,18.950000000000006
-1.2,3.3,-6,1018.7,45,0,16.1,22.4,35.2,nan,nan,nan,nan,9.75
2.6,7,-1,1011.7,48,0,16.1,22.6,42.4,nan,nan,nan,nan,29.0
2.8,6.7,-0.6,1014.6,62,0,15.9,13.5,37,nan,nan,nan,nan,27.75
4.1,11.1,0,1001.7,72,0.25,13.2,19.8,42.4,1,nan,nan,nan,17.11428571428571
0.4,5,-4,1018.2,41,2.03,15.9,18,27.8,nan,1,nan,nan,6.5
2.1,6,-1,1026.0,36,0,16.1,15,25.9,nan,nan,nan,nan,6.6
2.3,6.1,-2.2,1025.8,25,0,16.1,21.9,35.2,nan,nan,nan,nan,6.426666666666668
11.9,16.1,3.9,1023.5,29,0,16.1,13.7,24.1,nan,nan,nan,nan,28.730769230769234
10.6,19.4,3.9,1017.7,69,0.51,15,14.6,31.3,1,nan,nan,nan,19.133333333333333
11.3,19.4,3.9,1020.7,51,0,16.1,24.6,37,nan,nan,nan,nan,10.2
7.4,11.1,4,1011.4,52,3.05,16.1,25,40.7,nan,nan,nan,nan,8.838461538461539
3.3,6.7,1,1006.8,87,6.1,9.7,16.9,32.4,1,1,nan,nan,9.75
