AvgTemp,MaxTemp,MinTemp,SeaLevelPressure,AvgHumidity,TotalRainfallSnowmelt,AvgVisibility,AvgWindSpeed,MaxWindSpeed,RainDrizzle,Snow,ThunderStorm,Fog,PM 2.5
10.3,13.3,1.7,1016.6,79,7.37,8.5,13.7,24.1,1,nan,nan,nan,12.353333333333332
9,12.2,6,1015.2,55,26.42,15.3,25.9,38.9,nan,nan,nan,nan,9.486666666666666
7.7,12,4,1027.1,44,0,16.1,15.9,31.3,nan,nan,nan,nan,15.196153846153846
11.1,22.2,7.8,1021.4,45,0,16.1,20.2,35.2,nan,nan,nan,nan,8.533333333333333
10.2,14,8,1008.3,72,24.38,11.7,21.5,37,1,nan,nan,nan,9.5
5,13.9,2.8,1009.4,39,9.65,16.1,25.9,38.9,nan,nan,nan,nan,11.139130434782608
10.8,14,8.9,1022.8,67,0.25,15.6,14.1,18.3,1,nan,nan,nan,20.913333333333327
7.7,13.9,6.1,1023.3,87,1.78,6.4,14.4,22.2,1,nan,nan,1,15.235714285714286
6.3,10,5,1017.4,88,0.51,5.1,12.8,24.1,1,nan,nan,1,21.085185185185193
3.4,6.1,-3.8,1012.8,67,1.02,10.5,16.3,50,1,1,nan,nan,14.47857142857143
0.4,6.1,-3.3,1013.4,46,0,15.8,36.5,50,nan,1,nan,nan,9.426666666666668
-4,1.7,-6.1,1026.5,41,0,16.1,20.2,42.4,nan,nan,nan,nan,8.903846153846159
0.8,4.4,-2.8,1011.1,50,0,15.3,17.4,37,nan,1,nan,nan,11.778571428571427
-7.5,-2.2,-12,1013.6,43,0,16.1,33.7,44.3,nan,nan,nan,nan,8.615384615384615
-2.5,4.4,-11.7,1011.5,44,0,16.1,10.2,31.3,nan,nan,nan,nan,17.567999999999994
0,2.8,-5,1014.2,nan,2.03,14.6,21.7,33.5,nan,1,nan,nan,12.749999999999998
-0.3,2.2,-2.8,1018,44,0,16.1,17.4,27.8,nan,nan,nan,nan,18.242857142857144
2,3.3,-2.1,1008.1,72,1.52,12.7,12,16.5,1,1,nan,nan,30.215384615384608
-0.4,3,-4,1009.7,46,4.32,14.3,27,38.9,1,nan,nan,nan,12.061538461538465
-6.9,-2.8,-10.6,1015.5,38,0,15.4,23.7,35.2,nan,1,nan,nan,12.146666666666668
-5.4,-1.1,-10,1014.2,37,0,16.1,27.4,37,nan,nan,nan,nan,13.155555555555553
-3.9,1,-7,1013.2,39,0,16.1,31.5,42.4,nan,nan,nan,nan,11.426666666666668
-1.3,5,-5,1026.1,41,0,16.1,17.2,25.9,nan,nan,nan,nan,11.19375
-3.4,1.1,-5.6,1005.7,72,0.76,6.8,37.6,57.2,1,1,nan,nan,10.078571428571427
-6.1,-0.6,-8.3,1007,48,18.54,16.1,35.6,51.9,nan,1,nan,nan,9.19375
-5.8,1.7,-10,1015.5,41,0,16.1,35.7,48.2,nan,nan,nan,nan,9.025000000000002
2.6,9.4,-10,1011.5,43,0,16.1,15.9,22.2,nan,nan,nan,nan,24.49642857142857
6.5,9.4,-1,1007.8,55,2.79,14.8,13.3,22.2,1,nan,nan,nan,18.29375
0.6,6.1,-5.5,1020.1,47,0,16.1,14.1,27.8,nan,nan,nan,nan,10.813333333333333
0.9,3.9,-3.3,1009.9,79,8.38,8,16.1,29.4,1,1,nan,nan,16.419230769230772
3.4,6.1,0,1012.4,77,0.25,10.5,3.3,11.1,1,1,nan,nan,25.91875
4.2,7.8,0.6,1020.7,41,0,16.1,12.2,18.3,nan,nan,nan,nan,14.4
8.4,16.1,0.6,1004.5,67,45.47,9.2,23,37,1,nan,nan,nan,10.25625
9.7,16.1,2.2,1003.3,33,19.05,16.1,13.9,44.3,nan,nan,nan,nan,14.58125
-8.1,-3.9,-10,1027.5,52,0.25,10.9,14.4,42.4,nan,1,nan,nan,14.174074074074076
-3.4,2,-6.1,1022.7,44,1.52,16.1,23.2,37,nan,nan,nan,nan,12.3
-4.8,1.7,-9.4,1032.1,34,0,16.1,16.9,27.8,nan,nan,nan,nan,15.793333333333333
9.7,13.3,2.2,1021.4,47,0,16.1,13.5,20.6,nan,nan,nan,nan,24.848000000000003
11.8,18.9,6.7,1016,64,0,13.4,13,22.2,nan,nan,nan,nan,36.63125
13.5,20,6,1012.7,64,1.02,14,16.1,33.5,1,nan,nan,nan,23.1
3.2,6.1,0.6,1025.4,40,0,15.9,22.2,31.3,1,nan,nan,nan,11.321428571428573
7.3,10,0.6,1022.8,47,0,16.1,22.8,37,nan,nan,nan,nan,12.053333333333335
1.3,5.6,-3,1039.2,39,0,16.1,18.7,25.9,nan,nan,nan,nan,8.1
6.6,12.8,3.3,1028.3,71,1.27,14.8,15,33.5,1,nan,nan,nan,9.440740740740743
7.1,11.7,3.3,1029.4,69,0,16.1,17.6,29.4,nan,nan,nan,nan,8.66
15.4,23.9,5,1015.4,60,0.76,15.9,14.6,29.4,nan,nan,nan,nan,15.035714285714285
10.6,19.4,5.6,1023,28,0,16.1,13.9,24.1,nan,nan,nan,nan,6.477777777777778
7.6,10,6,1023.9,56,0,16.1,14.1,24.1,1,nan,nan,nan,6.892857142857142
7.6,12.2,5.6,1014.9,84,5.33,6.1,14.3,22.2,1,nan,nan,1,17.661538461538466
9.7,15.6,5.6,1018.5,76,0,10,11.9,25.9,1,nan,nan,nan,18.824
3.4,6,1,1005.9,36,0,16.1,17.2,25.9,nan,nan,nan,nan,6.742857142857143
2.9,6.1,0,1009.5,41,0,16.1,27.4,38.9,nan,nan,nan,nan,5.885714285714285
4.7,9.4,0,1014.4,40,0,16.1,23.5,35.2,nan,nan,nan,nan,7.265384615384613
7.9,10,5,1008.6,56,33.02,16.1,27,46.5,nan,nan,nan,nan,7.9642857142857135
8.7,13.9,5.6,1015,43,0,16.1,22.8,46.5,nan,nan,nan,nan,7.346666666666667
8.6,13.9,5.6,1006.2,72,14.22,9,21.3,38.9,1,nan,nan,nan,7.900000000000001
10.5,17,8,1012,61,0,16.1,10.2,18.3,1,nan,nan,nan,6.5
12.8,21.7,7.8,1017,38,0,16.1,15.4,27.8,nan,nan,nan,nan,9.400000000000002
15.2,26,9,1019.5,30,0,16.1,8.3,16.5,nan,nan,nan,nan,13.096296296296293
14.7,23.9,10,1016.7,39,2.03,15.6,17.4,29.4,1,nan,nan,nan,5.4750000000000005
11.1,17.2,8.9,1020.8,66,0,15.6,15.2,25.9,1,nan,nan,nan,5.292857142857144
10.7,16.7,8.9,1014.2,79,28.45,11.3,13.3,18.3,1,nan,1,nan,15.607692307692304
16.8,21,12,1013.9,30,0,16.1,16.1,33.5,nan,nan,nan,nan,6.1
13.7,21.7,10.6,1011.3,67,10.67,14.8,12.2,22.2,1,nan,1,nan,7.921428571428571
17.7,22,12.2,1019.8,25,0,16.1,12.4,25.9,nan,nan,nan,nan,6.176923076923077
12.4,18,8.9,1030.9,nan,0,16.1,12.8,20.6,nan,nan,nan,nan,4.5769230769230775
14.4,21.1,8.9,1025.2,44,0,16.1,12.8,27.8,nan,nan,nan,nan,6.546666666666668
19.3,27.8,10,1019.6,64,0,16.1,15.7,31.3,nan,nan,nan,nan,8.533333333333331
15.2,22.8,11.7,1018.5,40,5.59,16.1,17.6,33.5,1,nan,nan,nan,2.9199999999999995
16.4,21,11,1024.1,26,0,16.1,15.7,35.2,nan,nan,nan,nan,5.459999999999999
20.6,30.6,11.1,1016,39,0,16.1,23,35.2,nan,nan,nan,nan,18.633333333333333
12.3,14,10.6,1015.3,66,0,15.9,16.3,25.9,1,nan,nan,nan,5.333333333333333
16.4,25.6,11.1,1009,58,3.05,15.1,19.6,29.4,1,nan,1,nan,8.533333333333333
17.3,25.6,12.8,1015.2,49,1.02,16.1,16.7,27.8,nan,nan,nan,nan,6.38076923076923
