AvgTemp,MaxTemp,MinTemp,SeaLevelPressure,AvgHumidity,TotalRainfallSnowmelt,AvgVisibility,AvgWindSpeed,MaxWindSpeed,RainDrizzle,Snow,ThunderStorm,Fog,PM 2.5
10.9,14.4,3.9,1024.2,62,0,14.8,18.7,24.1,nan,nan,nan,nan,18.15714285714285
4.4,8.3,2,1036.0,64,0,16.1,15.7,22.2,nan,nan,nan,nan,7.5
9.9,13.3,2.2,1027.1,78,0,13.7,11.5,20.6,1,nan,nan,nan,23.85
3.2,5,0.6,1018.2,70,0.76,13.5,19.1,40.7,1,nan,nan,nan,11.36
2.6,5,1.7,1023.6,81,2.79,10,11.5,25.9,1,1,nan,nan,15.2
2.2,4,0,1028.0,72,10.67,15.8,14.1,27.8,nan,nan,nan,nan,13.55
4.8,12.2,1.7,1021.6,99,0,1,13.1,31.3,1,nan,nan,1,21.861538461538462
9.6,16.1,2.2,1016.0,86,4.32,11.9,24.3,50,1,1,nan,1,6.0
-0.5,3,-3,1036.1,53,18.03,16.1,17.4,27.8,nan,nan,nan,nan,9.4
-9.6,-3.9,-13,1029.8,54,0.51,13.8,13.9,29.4,nan,1,nan,nan,18.85333333333334
-3.3,-1.7,-4.4,1013.1,64,1.27,14,22.4,35.2,nan,1,nan,nan,15.15
-8.1,-3.3,-12,1019.0,46,0,16.1,22.4,33.5,nan,nan,nan,nan,7.449999999999998
-3.9,1.1,-13.3,1010.6,59,0,15.8,20,33.5,nan,1,nan,nan,17.628571428571426
0.3,2.2,-6.7,1007.2,68,0.51,12.1,13.3,25.9,nan,1,nan,nan,25.8
-9.1,2.2,-12.2,1022.8,56,0,16.1,32.4,46.5,nan,nan,nan,nan,8.95
-0.9,3.3,-4.4,1025.8,52,0,16.1,15,25.9,nan,nan,nan,nan,18.47692307692308
-0.9,4.4,-5,1030.3,55,0,16.1,6.9,13,nan,nan,nan,nan,37.8
-0.1,4.4,-5,1032.7,54,0,16.1,10.4,22.2,nan,nan,nan,nan,23.85
0.6,4,-2,1028.1,65,0,16.1,12.8,24.1,nan,nan,nan,nan,18.113333333333333
4.6,10,0.6,1030.1,52,0,16.1,9.4,16.5,nan,nan,nan,nan,22.75
5.6,11.1,0.6,1019.8,64,0,16.1,6.9,16.5,nan,nan,nan,nan,35.75
8.8,12,6.7,1014.4,65,0,15.1,9.1,16.5,1,nan,nan,nan,33.473333333333336
2.6,5,-0.6,1016.4,49,0,16.1,22.2,42.4,nan,nan,nan,nan,7.199999999999998
2.4,7,-1,1027.4,60,11.94,14.2,16.7,33.5,1,nan,nan,nan,9.7
9.5,13,7.2,1016.9,71,28.96,13.7,23.7,46.5,1,nan,nan,nan,13.686666666666667
-5.3,0,-8.3,1024.1,47,0,16.1,29.1,46.5,nan,nan,nan,nan,9.6
-0.3,2.2,-8.3,1029.1,42,0,16.1,16.1,29.4,nan,nan,nan,nan,13.7
0.1,2.2,-2.2,1019.5,84,10.92,6,20.9,33.5,1,1,nan,1,12.446153846153846
-2.6,1.1,-5,1019.2,68,10.41,10.3,18.3,25.9,nan,1,nan,1,11.7
-0.3,4,-3.3,1020.6,51,0,15.8,14.6,29.4,nan,1,nan,nan,20.950000000000006
-0.7,3.9,-5,1024.2,47,0,16.1,19.4,29.4,nan,nan,nan,nan,11.313333333333334
-0.3,3.3,-2.2,996.8,84,17.78,7.7,16.5,33.5,nan,1,nan,1,14.9
1.2,3.3,-2.2,997.3,56,0.51,15.4,32.8,50.4,nan,1,nan,nan,9.1
-1.7,3.3,-4.4,1006.4,49,0,16.1,34.8,46.5,nan,nan,nan,nan,4.9
9.1,14.4,0.6,1004.2,50,0,15.9,18.1,33.5,nan,nan,nan,nan,23.35
4.4,14.4,-5,988.7,75,0.51,10.3,22,59.4,1,1,nan,1,16.1
-5.5,-1,-8.3,1003.0,46,7.37,15.9,38.9,59.4,nan,nan,nan,nan,5.6
3.8,6.7,-0.6,1005.6,50,0,15.9,17.2,25.9,nan,nan,nan,nan,14.7
1.8,6.1,-1.7,1012.8,41,0,16.1,20,35.2,nan,nan,nan,nan,9.006666666666664
2.1,7.2,-1.7,1015.4,46,0,16.1,29.1,38.9,nan,nan,nan,nan,9.45
