AvgTemp,MaxTemp,MinTemp,SeaLevelPressure,AvgHumidity,TotalRainfallSnowmelt,AvgVisibility,AvgWindSpeed,MaxWindSpeed,RainDrizzle,Snow,ThunderStorm,Fog,PM 2.5
10.6,15.6,1.7,1009.7,73,35.31,11.4,26.9,44.6,1,nan,nan,nan,7.972727272727273
3.7,6.7,1.7,1024.1,55,2.03,16.1,15.7,27.8,nan,nan,nan,nan,8.572727272727272
5.2,7.2,1.7,1016.1,62,0,16.1,18,33.5,1,nan,nan,nan,8.083333333333334
-0.8,9.4,-3.3,1028.9,41,0,16.1,21.1,40.7,nan,nan,nan,nan,5.8583333333333325
4.2,8.3,-3.3,1020.3,69,1.78,9.5,10.4,20.6,1,nan,nan,1,11.075
6.7,8.3,1.7,1001.7,60,5.33,14.2,27.8,46.5,1,nan,nan,nan,5.315
-1.3,1.1,-6.1,1030.5,44,0,15.8,14.6,27.8,nan,1,nan,nan,6.984615384615385
-2.4,1.7,-5.6,1024.4,54,0,16.1,21.9,33.5,nan,nan,nan,nan,8.315384615384612
-0.9,2.2,-5.6,1020.4,47,0,16.1,11.7,18.3,nan,nan,nan,nan,12.51
2.1,5.6,-1.7,1022,61,0,16.1,14.1,22.2,nan,nan,nan,nan,8.761538461538462
1.6,4.4,-6.7,1002.1,85,28.96,9.8,26.1,53.5,1,1,nan,nan,5.830769230769231
-10.8,-6.7,-14.4,1013.3,55,5.08,16.1,44.3,59.4,nan,nan,nan,nan,5.52
2.7,13.9,1.7,1011.1,47,35.56,16.1,26.3,40.7,nan,nan,nan,nan,8.558333333333334
-1.2,4.4,-3.9,1023.1,31,0,16.1,18.7,35.2,nan,nan,nan,nan,8.3
3.5,9.4,-3.9,1019,51,0,16.1,15.6,37,nan,nan,nan,nan,8.475
-12.6,-8.9,-15.6,1026.4,35,0,15.9,27.2,51.9,nan,nan,nan,nan,8.284615384615384
-9,-5.6,-16.1,1030,33,0,16.1,17.2,27.8,nan,nan,nan,nan,9.692307692307693
-4.6,1.7,-11.1,1026.1,40,0,16.1,15.4,25.9,nan,nan,nan,nan,16.56
3.7,11.1,-7.8,1020,57,0,14.5,10.6,25.9,nan,nan,nan,nan,20.50769230769231
4.9,7.8,1.7,1018.3,87,14.22,10.8,18.1,35.2,1,nan,nan,nan,5.9
7.2,12.8,2.8,1014.4,71,8.38,11.4,17.2,42.4,1,nan,nan,1,6.049999999999999
-0.7,12.8,-4.4,1030.4,38,1.78,16.1,37.6,48.2,nan,nan,nan,nan,5.207692307692307
2.6,5.6,-3.3,1005.6,72,19.3,12.1,24.1,40.7,1,nan,nan,nan,6.7250000000000005
2.7,7.8,0.6,1014.3,46,1.52,16.1,23.5,33.5,nan,nan,nan,nan,7.968421052631579
7.7,12.8,0.6,1010.3,63,0,15.9,13.9,22.2,nan,nan,nan,nan,10.45
-1.8,5.6,-4.4,1030.9,46,0.25,16.1,24.4,40.7,nan,nan,nan,nan,5.315384615384615
-1.7,2.2,-4.4,1035.5,49,0,11.7,12.8,20.6,nan,1,nan,1,7.325
3.4,11.1,-3.3,1016,77,18.54,10.8,15.6,24.1,1,1,nan,nan,6.746153846153844
5,8.3,1.7,1004,37,5.59,16.1,43.2,53.5,1,nan,nan,nan,6.9923076923076914
-1,6.1,-3.3,1024.7,39,0,16.1,32.4,55.4,nan,nan,nan,nan,5.463157894736842
-3.4,2.8,-5,1028.9,45,0,16.1,18.3,29.4,nan,nan,nan,nan,4.041666666666667
-1,2.2,-3.9,1025.9,63,2.29,13,17.6,22.2,nan,1,nan,nan,8.96842105263158
1.2,5,-3.9,1019.1,80,10.41,11.1,15.6,25.9,nan,1,nan,nan,8.746153846153849
