AvgTemp,MaxTemp,MinTemp,SeaLevelPressure,AvgHumidity,TotalRainfallSnowmelt,AvgVisibility,AvgWindSpeed,MaxWindSpeed,RainDrizzle,Snow,ThunderStorm,Fog,PM 2.5
-0.4,3.9,-2.8,1020.3,37,0,16.1,21.3,29.4,46.5,nan,nan,nan,11.266666666666667
3.7,5.6,-2.8,1020.2,40,0,16.1,23.3,31.7,44.6,nan,nan,nan,12.8
1.8,5.6,-0.6,1032.2,62,0,12.4,15,24.1,37,1,nan,nan,9.66111111111111
-5.7,-3.9,-9.4,1016,55,1.27,15.8,27.4,48.2,64.8,1,nan,nan,11.07
-10.4,-3.9,-13.3,1027.1,47,0,16.1,27,42.4,61.1,nan,nan,nan,9.4375
-4.4,0.6,-13.3,1019.8,49,0,14.3,24.6,33.5,59.4,1,nan,1,10.238888888888887
-1,3.9,-7.2,1030.5,65,9.91,15.8,22.4,35.2,44.6,nan,nan,nan,10.466666666666667
-5.6,2.2,-8.3,1031.7,62,0,16.1,16.9,25.9,31.7,nan,nan,nan,12.691666666666668
-1.4,1.1,-8.3,1020.3,62,0,16.1,14.1,25.9,37,nan,nan,nan,16.611111111111118
4.1,6.1,-1.7,1008.3,67,50.29,15.4,22.8,38.9,55.4,nan,nan,nan,8.525
2.9,5.6,1.1,1012.4,52,0,16.1,17.8,25.9,35.2,nan,nan,nan,7.85
-0.8,4.4,-3.9,1019.2,43,0,16.1,13,20.6,nan,nan,nan,nan,9.361111111111112
3.1,5.6,0,1003.3,54,1.78,15.9,23.7,35.2,50,nan,nan,nan,8.95
-3,1.7,-6,1014.7,60,0,10.1,27.2,46.5,59.4,1,nan,1,8.366666666666665
-4.2,-1.1,-6.7,1005.5,77,11.43,6.9,27.6,40.7,53.5,1,nan,1,7.122222222222224
-6.4,2.8,-10.6,1018.1,49,0.25,16.1,39.8,53.5,74.1,nan,nan,nan,7.354545454545454
-2.5,2.2,-10.6,1022.2,53,0,16.1,16.3,33.5,42.4,nan,nan,nan,14.35
-1.3,2.2,-6.7,1008,83,21.34,5.5,20.7,46.5,55.4,1,nan,1,9.329411764705881
-7.1,0.6,-10,1019.9,60,6.6,15.9,24.8,42.4,59.4,1,nan,nan,10.7
-3.2,-2.8,-11.1,1021.2,45,0,16.1,15.4,22.2,31.7,nan,nan,nan,16.516666666666666
0.6,2.2,-3.3,1014.2,85,0.25,8.2,16.5,31.7,40.7,nan,nan,nan,20.5578947368421
-1.7,2,-3.4,1014.8,78,0.76,13.4,28.3,35.2,50,1,nan,nan,8.041666666666666
-8,4.4,-12.8,1016.7,46,0,16.1,33.7,48.2,66.5,nan,nan,nan,8.75
-5.1,0,-12.8,1015.2,46,0,14.2,13.1,24.1,37,1,nan,nan,11.63157894736842
-6.4,0,-11.7,1005.8,60,0.25,14,36.5,53.5,68.3,1,nan,nan,10.791666666666664
-5.6,-0.6,-9.4,1008.2,49,0,15.4,27.6,42.4,63,1,nan,nan,9.825
-11.7,-2.8,-16.1,1020.5,41,0,16.1,33.7,46.5,59.4,nan,nan,nan,10.341176470588234
-6.6,-1.7,-16.1,1031.6,47,0.25,13,14.8,25.9,38.9,1,nan,1,10.808333333333332
