AvgTemp,MaxTemp,MinTemp,SeaLevelPressure,AvgHumidity,TotalRainfallSnowmelt,AvgVisibility,AvgWindSpeed,MaxWindSpeed,RainDrizzle,Snow,ThunderStorm,Fog,PM 2.5
-2.1,2.2,-5.6,1018.4,48,0,16.1,21.9,31.3,nan,nan,nan,nan,12.0
-1.1,3,-4,1023.4,54,0,16.1,25.6,38.9,nan,nan,nan,nan,9.888888888888891
-0.1,2.8,-3.9,1017.6,52,0,16.1,13.7,20.6,nan,nan,nan,nan,14.633333333333335
2.3,4,-1,998.5,84,17.27,10.5,24.3,42.4,1,1,nan,nan,10.25
-1.7,2.8,-5,1011.1,64,0.51,14.3,21.5,33.5,nan,1,nan,nan,13.125000000000002
1.4,4.4,-5,1009.3,64,2.03,15.6,21.7,29.4,1,1,nan,nan,20.266666666666666
5.8,7.8,3.9,1001.5,56,0.51,16.1,25.9,55.4,1,nan,nan,nan,7.5
3.9,6,2,1015.9,45,0.76,16.1,20.6,42.4,nan,nan,nan,nan,12.405555555555555
5.1,10,2.2,1011.5,73,0,12.6,15.2,35.2,nan,nan,nan,1,15.033333333333333
-1.1,2,-3,1022.1,49,nan,13.8,16.5,29.4,nan,1,nan,1,14.8
-0.4,4,-2.2,1016.6,73,2.54,12.2,17.2,25.9,nan,1,nan,1,18.37058823529412
2.3,4.4,-2.2,1016.0,68,4.06,14.8,12.2,27.8,1,nan,nan,nan,30.55
7.1,11,4,1011.2,55,1.78,16.1,24.4,37,1,nan,nan,nan,6.7
7.7,13.3,3.9,1020.9,35,0,16.1,20.4,27.8,nan,nan,nan,nan,11.794736842105264
9.7,16.1,3.9,1021.4,37,0,16.1,13.1,24.1,nan,nan,nan,nan,18.05
4.4,10,2,1026.7,85,0.51,10.6,19.6,29.4,1,nan,nan,nan,9.5
4.4,13.3,2.2,1014.3,95,0.51,3.4,19.1,42.4,1,nan,nan,1,9.644444444444442
2.9,13.3,-1.1,1020.4,44,2.03,16.1,35.7,50,nan,nan,nan,nan,4.25
2.3,6.1,-1.1,1024.3,43,0,16.1,16.3,27.8,nan,nan,nan,nan,10.25
4.4,6.7,0,1015.8,56,0.25,13.2,11.3,22.2,1,nan,nan,nan,34.457894736842086
6.3,12,3.9,1012.8,51,0,15.4,17.6,24.1,nan,nan,nan,nan,16.0
5.9,11.7,2.8,1026.8,50,0,16.1,16.1,27.8,nan,nan,nan,nan,11.8
4,7.2,-4.4,1015.5,41,0,16.1,26.9,40.7,nan,nan,nan,nan,6.778947368421052
-1.4,6.7,-5,1029.0,38,0,16.1,15.9,29.4,nan,nan,nan,nan,14.4
4,9.4,-5,1024.5,51,0,16.1,21.3,29.4,nan,nan,nan,nan,9.65
4.4,11.7,-0.6,1025.0,37,0,16.1,9.3,20.6,nan,nan,nan,nan,17.184210526315788
8.6,11.7,0.6,1019.8,58,0,16.1,14.1,38.9,nan,nan,nan,nan,22.05
12.2,17.2,6.7,1008.6,71,1.02,13.4,18.3,31.3,1,nan,nan,nan,13.95
5.8,10,-0.6,1023.7,67,0,16.1,14.3,29.4,nan,nan,nan,nan,14.349999999999998
8.9,14,6,1011.8,78,0,15.1,18.5,37,nan,nan,nan,nan,13.95
6,11.1,1,1002.3,66,1.02,15,21.5,38.9,1,1,nan,nan,7.8
