AvgTemp,MaxTemp,MinTemp,SeaLevelPressure,AvgHumidity,TotalRainfallSnowmelt,AvgVisibility,AvgWindSpeed,MaxWindSpeed,RainDrizzle,Snow,ThunderStorm,Fog,PM 2.5
8.6,11.7,5,1015.6,67,0.25,16.1,16.1,29.4,42.4,nan,nan,nan,12.258823529411767
6.1,10.6,2.8,1006.7,48,1.52,15.9,27.2,40.7,55.4,nan,nan,nan,8.522222222222222
-1.2,10,-5.6,1011.5,49,0,16.1,27.8,38.9,53.5,nan,nan,nan,9.8
10.9,16.7,2.2,1008,42,0,16.1,13.5,27.8,38.9,nan,nan,nan,16.858823529411765
7.3,16.7,3.9,1018.7,45,0,16.1,19.1,27.8,37,nan,nan,nan,9.255555555555556
1.7,7.8,0,1025.2,46,0,16.1,13.1,29.4,37,nan,nan,nan,10.844444444444445
3.9,10,-1.7,998.8,72,8.38,12.2,25.2,53.5,70.6,nan,nan,nan,11.05625
-1.3,0,-2.2,1011.8,50,0.51,16.1,27.6,35.2,61.1,nan,nan,nan,11.6
-4.8,0,-8.9,1024,43,0,16.1,25.6,37,50,nan,nan,nan,8.437499999999998
-3.1,2.2,-6.7,1021.7,49,0,16.1,16.1,33.5,38.9,nan,nan,nan,8.970588235294116
-0.1,2.8,-6.7,1018.8,46,0,16.1,22.8,44.6,51.9,nan,nan,nan,10.6125
-3.1,2.8,-5,1022.5,63,2.03,9.8,17.4,27.8,nan,1,nan,nan,12.85
5.3,11.7,3.3,1022.8,53,0,16.1,21.9,33.5,40.7,nan,nan,nan,10.813333333333333
2.5,6.7,0.6,1021.9,67,0.76,15.3,10.6,18.3,nan,nan,nan,nan,13.7
7.7,15.6,0.6,1003.4,88,4.57,7.6,16.3,50,72.2,nan,nan,1,11.633333333333333
6.9,15,1.7,1021.7,37,0,16.1,16.5,24.1,33.5,nan,nan,nan,11.183333333333335
13,17.2,10,1014.4,43,0.25,16.1,22,37,61.1,nan,nan,nan,14.411111111111113
8.1,17.2,5,1016.3,53,0.51,16.1,17.2,27.8,44.6,nan,nan,nan,12.18888888888889
2.6,5,0.6,1023.8,51,0,16.1,29.1,33.5,46.5,nan,nan,nan,7.816666666666666
7.3,11.1,1.1,1016.7,43,0,16.1,18.3,27.8,38.9,nan,nan,nan,12.433333333333332
2.4,8.3,0,1024.1,47,0,16.1,13.9,22.2,nan,nan,nan,nan,10.488888888888887
2.6,8.3,0,1019.2,55,0.25,13.7,15.6,29.4,38.9,1,nan,nan,10.961111111111109
0.8,6.7,-6.1,1015.1,40,0,16.1,26.1,38.9,53.5,nan,nan,nan,9.91
5.2,8.3,-1.6,1017.7,32,0,16.1,12.4,27.8,40.7,nan,nan,nan,13.82
5.7,8.3,3.3,1020,75,0.51,14,10.7,22.2,nan,nan,nan,nan,20.34210526315789
4.5,8.3,1.7,1017,51,0.51,16.1,14.8,25.9,33.5,nan,nan,nan,7.590000000000002
3.3,7.8,0,1018.4,42,0,16.1,20.6,33.5,48.2,nan,nan,nan,7.750000000000003
3.8,7.8,-0.6,1024.7,46,0,16.1,14.3,40.7,53.5,nan,nan,nan,8.026315789473683
5.9,7.8,2.8,1000.1,46,8.13,15.8,34.4,46.5,74.1,nan,nan,nan,6.988888888888888
2.6,7.2,-0.6,1023,38,0,16.1,28.2,46.5,63,1,nan,nan,7.099999999999999
6.3,12.2,-0.5,1027.4,47,0,16.1,14.3,31.7,38.9,nan,nan,nan,14.641176470588233
4.4,6,3,1006.8,86,12.45,10.6,19.3,38.9,46.5,nan,nan,nan,7.838888888888889
2.8,6.7,0.6,1017.3,71,0.25,16.1,14.8,20.6,nan,nan,nan,nan,7.07
8,13.9,0.6,1004,70,6.6,11.3,17,33.5,51.9,nan,nan,nan,7.5
7.5,17.2,-2.7,1033.1,48,0,16.1,16.5,27.8,35.2,nan,nan,nan,11.894736842105265
14.8,22.2,3.3,1022.9,56,0,16.1,21.3,38.9,51.9,nan,nan,nan,8.749999999999998
9.9,22.2,5,1016.5,47,0.51,15.9,25.9,57.6,nan,nan,nan,nan,6.3199999999999985
15.6,23.3,8.3,1017.4,61,1.27,16.1,13.9,22.2,35.2,nan,nan,nan,14.705263157894732
17.4,23.3,11.7,1017.3,36,0,16.1,16.7,29.4,42.4,nan,nan,nan,10.422222222222224
9.2,21.1,6.7,1024.5,61,0,16.1,14.6,22.2,nan,nan,nan,nan,9.12
15.2,22.2,7.8,1022.4,64,0,14.8,13.7,25.9,31.7,nan,nan,nan,15.349999999999998
15.6,22.2,10,1024.2,72,0,12.4,10.7,18.3,nan,nan,nan,1,12.31
14.3,22.2,11.7,1026.5,86,0,9.2,11.1,18.3,nan,nan,nan,nan,11.29
9.1,17.2,7.8,1011.7,62,0.51,15.6,19.6,27.8,33.5,nan,nan,nan,8.366666666666667
10,12.8,5,1008.3,47,0,16.1,21.7,48.2,68.3,nan,nan,nan,7.27
4.3,12.8,0,1021.9,21,0,16.1,27.6,42.4,64.8,nan,nan,nan,5.519999999999999
5.9,14.4,3.9,1013.9,74,11.18,12.7,21.5,35.2,nan,nan,nan,nan,6.066666666666666
7.9,11.1,4.4,1010,65,0.25,15.4,8.1,25.9,nan,nan,nan,nan,8.239999999999998
8.9,13.3,6.1,1006,56,15.24,14.5,23.2,40.7,59.4,nan,nan,nan,3.49
10.6,17.2,6.1,1011.1,26,1.02,16.1,21.1,37,46.5,nan,nan,nan,4.821052631578948
10.5,15.6,4.4,1016.2,26,0,16.1,22,31.7,46.5,nan,nan,nan,3.85
12.9,20,6.7,1011.5,25,0,16.1,23.7,35.2,53.5,nan,nan,nan,4.510000000000002
14.4,17.8,11.7,1005.8,27,0,16.1,28,40.7,61.1,nan,nan,nan,6.266666666666668
12.4,18.3,7.2,1020.4,36,0,16.1,11.7,24.1,29.4,nan,nan,nan,6.0888888888888895
15.5,21.1,8.3,1020.4,32,0,16.1,12,29.4,37,nan,nan,nan,10.61
20.3,25.6,11.7,1015.8,41,0,16.1,14.6,25.9,40.7,nan,nan,nan,18.005263157894735
13.8,20,10,1019,57,1.27,16.1,11.3,22.2,29.4,nan,nan,nan,6.6
16.2,21.1,10,1015.8,55,0.76,16.1,12.8,27.8,35.2,nan,nan,nan,6.544444444444443
16.7,22.8,12.2,1008.7,72,0,14.2,15,35.2,53.5,nan,nan,nan,7.1722222222222225
12.6,17.2,6.1,1007.6,36,0,16.1,15.4,25.9,37,nan,nan,nan,9.73
12.1,17.2,8.3,1011.2,60,0,14.2,12.2,24.1,37,nan,nan,nan,11.62
10.8,16.7,8.3,1009.3,56,1.27,13.7,28.3,46.5,64.8,nan,nan,nan,4.894444444444444
14,20,10,1018.7,69,17.78,12.6,14.8,22.2,33.5,nan,nan,nan,9.455555555555557
12,20,10,1019.7,78,0.76,14.6,15.4,20.6,nan,nan,nan,nan,4.411111111111111
12.4,15,10,1020.6,81,8.89,15.6,10,16.5,nan,nan,nan,nan,9.026315789473683
14.2,18.3,11.7,1019.7,58,0,16.1,13.5,24.1,37,nan,nan,nan,4.44
14.9,18.9,11.7,1015.8,65,0,16.1,25.2,38.9,59.4,nan,nan,nan,6.6
16.8,20,13.3,1007.5,85,6.86,10.8,11.7,20.6,nan,nan,nan,nan,11.915789473684216
22.6,27.2,13.9,1020.6,37,0,16.1,14.8,27.8,29.4,nan,nan,nan,13.73
20.8,27.2,17.8,1019.8,61,0,15.8,13.9,22.2,29.4,nan,nan,nan,10.12
17.7,18.9,17,1018.1,79,0.25,12.6,17.8,27.8,38.9,nan,nan,nan,8.321052631578949
18.5,26.1,13.3,1020.9,40,0,16.1,8.7,20.6,nan,nan,nan,nan,5.9099999999999975
18.8,26.1,13.3,1022.3,44,0,16.1,14.8,35.2,nan,nan,nan,nan,5.690000000000001
15.8,17.8,14,1021.7,79,0,10.3,21.5,33.5,40.7,nan,nan,nan,5.394444444444446
17.4,22.8,15.6,1021.8,87,12.95,5.8,15.6,20.6,35.2,nan,nan,1,6.088888888888887
22.9,29.4,15.6,1019.6,76,0,14.2,10.9,22.2,nan,nan,1,nan,14.611111111111109
