AvgTemp,MaxTemp,MinTemp,SeaLevelPressure,AvgHumidity,TotalRainfallSnowmelt,AvgVisibility,AvgWindSpeed,MaxWindSpeed,RainDrizzle,Snow,ThunderStorm,Fog,PM 2.5
1.7,4,0.6,1013.1,87,5.84,10.1,5.2,14.8,1,1,nan,nan,23.946666666666665
-1.6,3.3,-7,1005.4,70,0,14.6,31.1,48.2,1,1,nan,nan,7.407999999999999
-6.9,0,-8.3,1001.1,60,0,14.3,41.5,51.9,nan,1,nan,nan,9.421428571428573
0.3,3.3,-2.8,1010.3,62,0,16.1,26.1,37,nan,nan,nan,nan,10.569230769230767
0.2,3.3,-2.2,1008.3,70,0,13.4,16.1,44.3,nan,1,nan,nan,13.8
-3.8,1.1,-6.1,1015.2,51,0,16.1,25.4,33.5,nan,nan,nan,nan,8.983333333333333
-1.9,2.2,-4.4,1020.8,53,0,16.1,25.6,42.4,nan,nan,nan,nan,14.292857142857144
2,5.6,-4.3,1022.8,51,0,16.1,8.5,18.3,nan,nan,nan,nan,27.856000000000005
4.7,10,0,1020.6,50,0,16.1,15.4,33.5,nan,nan,nan,nan,23.128571428571433
6.5,9,5,1012.2,71,0,15.6,8.1,27.8,nan,nan,nan,nan,23.11333333333333
4,7.2,2,1012.7,62,0,16.1,18,27.8,nan,nan,nan,nan,13.115384615384615
2.7,6,0.6,1020.7,54,0,16.1,9.1,18.3,nan,nan,nan,nan,15.046666666666665
9.9,13.3,0.6,1007.3,95,1.27,10.1,30.7,59.4,1,nan,nan,nan,8.528571428571428
6.2,13.3,3.9,1001.1,56,30.23,16.1,23.5,33.5,1,nan,nan,nan,8.564
2.2,8.3,0,1014.6,48,0,16.1,20.7,29.4,nan,nan,nan,nan,14.357142857142858
-5.9,-0.6,-9.4,1017.8,41,0,16.1,18.7,24.1,nan,nan,nan,nan,11.813333333333333
-0.9,2.2,-9.4,1022.1,36,0,16.1,22.8,29.4,nan,nan,nan,nan,16.3875
0.1,2.2,-2.7,1024,42,0,16.1,13.5,20.6,nan,nan,nan,nan,14.840000000000002
-0.1,3.3,-2.2,1017.9,76,1.02,9.8,13.3,33.5,nan,1,nan,nan,20.100000000000005
-4,1.1,-8,1010.1,49,0,16.1,28.5,37,nan,nan,nan,nan,7.21923076923077
-1.7,3.3,-7.8,1013.4,50,0,16.1,25.4,40.7,nan,nan,nan,nan,8.385714285714286
1.2,6,-1.1,1016.4,51,0,16.1,18,38.9,nan,nan,nan,nan,11.193333333333333
-1.1,3.3,-3.3,1004.2,51,0,16.1,22,33.5,nan,nan,nan,nan,8.407692307692308
0.4,5,-3.3,1000.4,53,0,16.1,28,35.2,nan,1,nan,nan,9.0
1.4,5,-1.6,1007.2,50,0,16.1,21.9,29.4,nan,nan,nan,nan,12.92666666666667
3.9,6.1,0,1005.9,53,0,16.1,29.8,40.7,nan,nan,nan,nan,6.872000000000001
4.2,7,2,1012.7,59,0,16.1,25.6,35.2,nan,nan,nan,nan,8.466666666666667
4.6,8,2,1013.4,47,0,16.1,22.8,40.7,nan,nan,nan,nan,7.233333333333332
1.3,3.9,-1.1,1000.3,96,4.83,7.6,11.7,33.5,1,1,nan,1,9.16086956521739
-0.7,2,-3,982.9,83,35.81,3.5,27.2,53.5,nan,1,nan,1,10.114285714285717
1.2,4,-1.1,997.7,73,2.03,15.8,14.3,24.1,nan,1,nan,nan,12.62857142857143
