AvgTemp,MaxTemp,MinTemp,SeaLevelPressure,AvgHumidity,TotalRainfallSnowmelt,AvgVisibility,AvgWindSpeed,MaxWindSpeed,RainDrizzle,Snow,ThunderStorm,Fog,PM 2.5
5.5,10,3.9,1017.3,55,0.76,16.1,21.9,29.4,nan,nan,nan,nan,5.499999999999999
2.9,6.1,1.1,1017,48,0,16.1,22,31.7,nan,nan,nan,nan,9.966666666666667
4.4,8.3,1.1,1012.1,47,0,16.1,18.3,27.8,nan,nan,nan,nan,11.466666666666667
3.9,8.9,-3.3,1027.3,32,0,16.1,6.9,16.5,nan,nan,nan,nan,22.752631578947373
4.6,8.9,0,1022.8,56,0,16.1,13,25.9,nan,nan,nan,nan,14.28181818181818
6.5,8.9,1.1,1021.8,76,0,15.8,20,25.9,1,nan,nan,nan,11.69090909090909
-1.5,7.2,-4.4,1011.3,46,0,16.1,31.3,44.6,nan,nan,nan,nan,8.257894736842106
-1.8,3.9,-4.4,1014.6,44,0,16.1,20.4,31.7,nan,1,nan,nan,12.925
4.6,11.1,-4.4,1012.5,63,0,16.1,8.9,24.1,nan,nan,nan,nan,17.92727272727273
-5.1,0.6,-7.8,1015.8,44,0,16.1,35.2,46.5,nan,nan,nan,nan,5.826315789473685
0.1,3.3,-7.8,1020.6,49,0,16.1,24.1,42.4,nan,nan,nan,nan,6.508333333333333
0.3,3.3,-2.2,1019.6,48,0,16.1,20,33.5,nan,nan,nan,nan,7.325000000000002
1.1,3.3,-4.4,1022.6,51,0.76,15.6,9.1,16.5,nan,nan,nan,nan,14.305263157894736
4.6,9.4,-1.1,1019.7,64,0,16.1,10.4,18.3,nan,nan,nan,nan,13.65
6.9,9.4,1.7,1015.5,51,0.25,15.9,19.1,33.5,1,nan,nan,nan,9.975
5.8,13.3,-1.1,1014.1,50,0,16.1,12.6,18.3,nan,nan,nan,nan,12.957894736842105
10.3,15,2.8,1009,61,0,16.1,12,24.1,1,nan,nan,nan,12.85
7.5,15,3.3,1022.4,47,0,16.1,9.3,22.2,nan,nan,nan,nan,7.75
8.9,13.9,3.3,1022.7,74,0,13,16.7,35.2,1,nan,nan,nan,6.773684210526315
3.4,3.9,2.8,1024.9,51,0,16.1,12.2,14.8,nan,nan,nan,nan,13.175000000000002
2.6,4.4,-1,1009.9,67,0,13.7,25,40.7,nan,1,nan,1,6.2
-1,5,-2.8,1004.9,73,1.52,14.5,15.4,24.1,1,1,nan,nan,10.236842105263158
-5.8,-2.8,-11.7,1015.7,46,0,16.1,31.5,51.9,nan,nan,nan,nan,7.908333333333334
-13.2,-4.4,-17.2,1030.2,42,0,16.1,29.3,46.5,nan,nan,nan,nan,6.919999999999999
-7.2,-0.6,-17.2,1033.4,45,0,13.2,11.5,20.6,1,1,nan,1,11.744444444444444
-1,3,-3.9,1033.4,42,0,16.1,14.1,24.1,nan,nan,nan,nan,6.8583333333333325
8.6,16.7,-3.9,1015.8,52,0,16.1,18.7,27.8,nan,nan,nan,nan,8.989999999999998
11.7,16.7,4.4,1011.5,46,0,16.1,15.6,27.8,1,nan,nan,nan,8.238888888888889
11.5,16.1,2.2,993.7,75,37.59,12.4,31.7,63,1,nan,1,nan,5.77
2.6,5,0.6,1006.4,46,0.51,16.1,32.8,46.5,nan,nan,nan,nan,4.8500000000000005
0.3,5.6,-2.2,1018.5,41,0,16.1,21.3,35.2,nan,nan,nan,nan,7.031578947368421
8.1,16.1,4.4,1016.8,41,1.78,16.1,21.1,35.2,nan,nan,nan,nan,6.283333333333334
8.1,13.3,2.2,1005.7,56,4.32,15.4,28,46.5,1,nan,nan,nan,7.50909090909091
-0.3,2.2,-2.8,1021.4,38,0,16.1,22,38.9,nan,nan,nan,nan,5.166666666666667
7.3,16.1,0.6,1022.7,50,0,15.6,17.2,33.5,nan,nan,nan,nan,15.288888888888886
12.2,17.8,2.8,1019.1,50,0,15.4,10.7,20.6,nan,nan,nan,nan,20.10909090909091
12.2,23.3,5,1019.4,60,0,12.2,9.8,20.6,nan,nan,nan,nan,21.524999999999995
13.7,17.8,5,1016.6,45,0,16.1,10.4,18.3,nan,nan,nan,nan,6.86842105263158
8.7,17.8,5,1018.8,64,0.51,14.3,22.2,38.9,1,nan,nan,nan,3.4083333333333345
8.9,13.9,5,1010,80,4.32,13.4,23.7,40.7,1,nan,nan,nan,4.658333333333333
6.4,13.9,2.8,1017.3,37,0,16.1,13,22.2,nan,nan,nan,nan,3.363157894736842
3.8,8.3,0.6,1019.6,40,0,15.9,23.5,37,nan,1,nan,nan,3.5083333333333333
4.2,10,0.6,1010.3,55,3.56,11.3,19.3,38.9,nan,1,nan,nan,4.8
13.3,22.8,6.7,1007.8,73,0,12.2,14.6,24.1,1,nan,nan,nan,10.210526315789473
8.3,22.8,3.9,1022.4,55,1.78,16.1,19.4,27.8,nan,nan,nan,nan,3.8250000000000006
7.7,12.2,3.9,1027.9,67,0,16.1,12.6,24.1,nan,nan,nan,nan,3.858333333333333
14,21.1,3.9,1016.7,51,0,15.9,20.6,35.2,nan,nan,nan,nan,8.905263157894737
17,26.1,9.4,1004.4,74,0,15.9,16.9,29.4,1,nan,1,nan,7.5
13.5,26.1,9.4,1000.3,66,0.25,15.6,12.8,25.9,1,nan,nan,nan,4.216666666666667
5.7,16.1,1.7,1002.9,51,6.1,15.9,36.5,59.4,1,1,nan,nan,3.3947368421052637
11.1,15.6,0,1006.4,75,0,15.1,23.7,42.4,1,nan,nan,nan,4.391666666666667
9.4,15.6,6.7,1000.9,48,3.81,16.1,25.4,40.7,nan,nan,nan,nan,3.758333333333333
5.1,8.3,3,1007.8,55,0,15.6,15,29.4,1,nan,nan,nan,5.589473684210527
9.1,14.4,5.6,1027.1,39,4.83,16.1,16.3,27.8,nan,nan,nan,nan,4.3090909090909095
9.9,16.1,5.6,1026.9,47,0,16.1,12,22.2,nan,nan,nan,nan,5.633333333333333
10.4,17.2,6.1,1029.4,45,0,16.1,9.6,22.2,nan,nan,nan,nan,6.289473684210527
18.6,26.7,9.4,1015.9,31,0,16.1,15.9,31.7,nan,nan,nan,nan,6.175
14.9,20.6,10.6,1022.3,25,0,16.1,19.8,25.9,nan,nan,nan,nan,3.1500000000000004
14.9,21.1,10,1020.5,38,0,16.1,15.2,25.9,nan,nan,nan,nan,8.272222222222222
13.7,20,8.9,1015.7,50,0,16.1,12,24.1,nan,nan,nan,nan,7.416666666666665
12.4,20,10,1008.3,77,4.83,14.2,17.4,35.2,1,nan,1,nan,7.9833333333333325
10.6,14.4,8,1012,65,2.79,16.1,14.6,25.9,nan,nan,nan,nan,4.415789473684211
10.1,17.2,8.3,1022.7,67,0,14.2,13.5,20.6,1,nan,nan,nan,2.2583333333333333
10.3,16.1,7,1016.3,83,3.81,10.8,11.3,24.1,1,nan,nan,nan,6.9250000000000025
12.5,16.7,7.2,1012,88,18.54,10.9,13.5,29.4,1,nan,nan,nan,4.022222222222221
11.2,14,9,1008.5,92,4.57,12.6,16.1,24.1,1,nan,nan,nan,2.983333333333333
11,12.2,10,1006.8,95,0,16.1,11.1,14.8,nan,nan,nan,nan,3.65
17.2,23.3,9.4,1014,33,2.03,16.1,18.3,42.4,nan,nan,nan,nan,8.678947368421053
16.4,25.6,13.3,1013.1,81,0,13.4,10.6,22.2,1,nan,nan,nan,12.609090909090908
19,22.8,14.4,1007.1,67,6.35,15.9,12.6,46.5,nan,nan,nan,nan,4.409090909090909
13.3,22.8,8.9,1006.8,52,0,16.1,28.5,38.9,1,nan,nan,nan,1.38125
16.1,21.7,12.8,1018.9,55,0,16.1,9.8,22.2,1,nan,nan,nan,6.463636363636365
18,25.6,13.3,1022.1,48,0,16.1,10.6,27.8,nan,nan,nan,nan,4.825
16.9,25.6,13.9,1020,58,0,16.1,11.7,20.6,1,nan,nan,nan,5.9
23.6,32.2,15.6,1016.3,47,0.51,16.1,7.2,20.6,nan,nan,nan,nan,14.316666666666665
27.9,33.3,15.6,1017.7,39,0,16.1,13.3,27.8,nan,nan,nan,nan,17.441666666666666
24.8,33.3,12.8,1017.3,68,0,15.8,13.3,25.9,nan,nan,nan,nan,18.85789473684211
24.8,30,20.6,1013.8,73,0,15.9,13.9,24.1,nan,nan,nan,nan,6.1090909090909085
24.4,28.9,20,1017.1,58,0,15.9,12.4,22.2,nan,nan,nan,nan,6.241666666666666
20.5,28.3,16.7,1020.1,71,0,16.1,17,24.1,nan,nan,nan,nan,6.447058823529412
19.1,23.3,16.7,1017.9,81,0,14.8,11.7,18.3,1,nan,nan,nan,5.966666666666666
26.3,30.6,20,1000.5,47,0,16.1,16.9,33.5,nan,nan,nan,nan,5.691666666666666
18.3,30.6,12.8,1002.3,58,0.25,15.1,24.1,35.2,1,nan,nan,nan,3.0222222222222217
17.6,23.3,12.8,1009,44,11.18,16.1,31.7,40.7,nan,nan,nan,nan,1.8363636363636369
18.9,30,15,1009.2,51,0,16.1,31.3,53.5,nan,nan,nan,nan,0.9636363636363636
20.6,27.2,15,1011.7,45,0,16.1,20.7,40.7,nan,nan,nan,nan,2.9470588235294133
24.1,30.6,15.6,1013.3,38,0,15.6,11.5,25.9,nan,nan,nan,nan,6.81
23.9,30,17.2,1025,51,0,16.1,13.9,27.8,nan,nan,nan,nan,6.808333333333334
23,28.9,18.9,1021.2,63,0,16.1,12.8,24.1,nan,nan,nan,nan,8.422222222222222
27.1,31.7,18.9,1009.5,45,0,16.1,18.5,37,1,nan,nan,nan,6.6083333333333325
22.9,29.4,18.3,1020.9,57,0,16.1,14.8,20.6,nan,nan,nan,nan,6.136363636363638
24.3,30,18.3,1022.4,51,0,16.1,13.9,31.7,nan,nan,nan,nan,7.733333333333332
24.3,30,20.6,1018.5,54,0,16.1,18.3,37,nan,nan,nan,nan,7.408333333333334
24.9,30.6,21.1,1014.6,66,0,15.8,15.6,29.4,1,nan,1,nan,6.241666666666666
22.7,27.2,20,1013.8,59,7.11,15.6,21.3,31.7,1,nan,1,nan,4.1842105263157885
24.1,27.8,20,1018.1,42,0,16.1,13.5,25.9,nan,nan,nan,nan,5.925000000000002
29.5,35.6,25,1008.2,62,0,16.1,13.5,25.9,nan,nan,nan,nan,13.958333333333336
26,33.9,23.3,1008.1,78,0.51,15.6,12,24.1,1,nan,nan,nan,9.694117647058825
21.3,30,18.9,1010.6,78,0.25,15.8,16.7,22.2,1,nan,nan,nan,2.65
25.6,30,21.7,1017.8,67,0,16.1,16.3,31.7,nan,nan,nan,nan,4.333333333333334
26.9,32.8,22.8,1012.9,76,0,16.1,14.4,50,1,nan,1,nan,10.62941176470588
30.3,33.3,23.9,1010.3,58,12.7,16.1,11.9,25.9,nan,nan,nan,nan,11.390909090909092
26.8,36.1,24.4,1017.4,51,3.05,16.1,20.2,29.4,nan,nan,nan,nan,3.1333333333333333
25.5,31.1,21.7,1021.7,41,0,16.1,13.3,22.2,nan,nan,nan,nan,4.9944444444444445
27.2,32.8,21.7,1020.2,50,0,16.1,15.4,29.4,nan,nan,nan,nan,8.216666666666667
29.1,34.4,24.4,1013,61,0.51,14.5,15.2,31.7,1,nan,1,nan,9.725
27.6,34.4,23.9,1011.5,64,19.56,16.1,15.4,25.9,1,nan,nan,nan,4.927777777777779
29.2,34.4,23.9,1013,47,0,16.1,12.2,20.6,nan,nan,nan,nan,6.15
25.4,28.9,23.9,1015.8,83,4.57,15.4,15,24.1,1,nan,nan,nan,6.383333333333334
23.4,28.3,21.7,1016.9,80,14.48,15.6,19.3,27.8,1,nan,1,nan,5.782352941176471
23.4,26.7,21.7,1018.5,68,0,16.1,19.4,31.7,nan,nan,nan,nan,5.763636363636365
23.4,27.2,20,1020.8,62,0,16.1,13.9,20.6,nan,nan,nan,nan,5.236363636363637
27.5,32.8,23.3,1009.7,49,0,16.1,17,25.9,nan,nan,nan,nan,4.126315789473685
27,31.7,23.3,1015.6,48,0,16.1,13,20.6,nan,nan,nan,nan,5.991666666666666
27.1,31.7,23.9,1021.1,53,0,16.1,12,29.4,nan,nan,nan,nan,7.1000000000000005
31.8,36.7,24.4,1011.7,63,1.78,16.1,13,27.8,nan,nan,nan,nan,11.194444444444445
32.6,36.1,27.8,1012.7,55,0,16.1,15.9,31.7,1,nan,1,nan,5.209090909090909
29.2,36.7,25.6,1019,62,0.25,15.9,10.4,22.2,1,nan,1,nan,5.118181818181818
27.6,31.7,23.9,1013.3,63,0,16.1,12.2,18.3,nan,nan,nan,nan,8.15263157894737
26.1,31.7,23.9,1013.1,74,0.51,16.1,11.7,24.1,1,nan,nan,nan,6.883333333333333
27.1,31.7,23.9,1011,70,3.05,16.1,18,31.7,1,nan,nan,nan,3.891666666666667
25.9,31.7,21.7,1019.2,60,0,16.1,19.6,31.7,nan,nan,nan,nan,8.473684210526317
28.7,32.8,22.8,1015.1,63,0.25,16.1,16.1,29.4,1,nan,nan,nan,8.458333333333334
