AvgTemp,MaxTemp,MinTemp,SeaLevelPressure,AvgHumidity,TotalRainfallSnowmelt,AvgVisibility,AvgWindSpeed,MaxWindSpeed,RainDrizzle,Snow,ThunderStorm,Fog,PM 2.5
-1.7,0.6,-6.1,1026.9,45,0,16.1,17.4,29.4,nan,nan,nan,nan,14.244444444444447
-1.7,0.6,-3.9,1019.5,70,0.25,15,26.3,40.7,1,1,nan,nan,11.976470588235294
-8.6,0,-11.7,1015.1,72,7.62,6.4,30.9,40.7,nan,1,nan,1,11.0125
-10,2.2,-15.6,1015.2,38,6.1,16.1,36.3,48.2,nan,nan,nan,nan,11.166666666666664
-10.6,-5.6,-15.6,1031.1,42,0,16.1,21.1,33.5,nan,nan,nan,nan,13.558823529411766
-3.5,0.6,-12.8,1035.2,41,0,16.1,13,22.2,nan,nan,nan,nan,17.100000000000005
5.4,12.2,1.7,1018.2,60,0.51,15.8,16.5,24.1,nan,nan,nan,nan,15.339999999999998
7.7,10,1.7,1010.8,79,0.51,13.7,12.2,20.6,1,nan,nan,nan,11.927777777777774
5.8,10,2.2,1012.4,80,9.14,12.9,10.2,24.1,1,nan,nan,1,20.230000000000004
-1.2,3.9,-3.9,1008.6,54,3.81,16.1,22.4,33.5,nan,nan,nan,nan,12.336363636363634
4.2,7.8,-3.9,1004,47,0,16.1,20.6,37,nan,nan,nan,nan,10.895
-3.5,7.8,-10,1012.8,59,0,9.7,23.2,35.2,1,1,nan,nan,8.11
-5.6,-2.8,-11.7,1011.8,49,0,13.4,23.3,35.2,nan,1,nan,nan,10.62
-5.6,-2.8,-7.8,1006.1,49,0.51,15.6,23.5,40.7,nan,1,nan,nan,8.183333333333334
0.9,6.7,-7.8,1006.9,54,0,16.1,17.4,33.5,nan,nan,nan,nan,13.149999999999995
-0.8,3.9,-7.8,1021.5,41,0,16.1,13.5,18.3,nan,nan,nan,nan,18.1
3.4,6.7,-3.3,1024.4,42,0,16.1,5.9,18.3,nan,nan,nan,nan,23.965000000000003
4.6,12.8,-1.1,1015.3,67,0,13,6.1,16.5,nan,nan,nan,nan,21.89
2,12.8,-1.1,1018.8,80,6.86,7.4,15.2,24.1,1,1,nan,1,13.254545454545452
-1.9,0.6,-3.9,1024.9,49,0,16.1,17.2,25.9,nan,nan,nan,nan,15.728571428571426
-3,-0.6,-5.6,1025.6,37,0,16.1,14.4,29.4,nan,nan,nan,nan,10.545454545454543
-2.7,-2.2,-3.3,1021.3,44,0,16.1,12.6,14.8,nan,nan,nan,nan,12.445454545454545
-1.8,2.2,-10,1012.3,80,4.57,6.4,29.3,53.5,1,1,nan,1,7.114285714285715
1.9,4.4,-4.4,993.5,69,44.45,11.3,30.4,50,1,1,1,1,15.036363636363635
