AvgTemp,MaxTemp,MinTemp,SeaLevelPressure,AvgHumidity,TotalRainfallSnowmelt,AvgVisibility,AvgWindSpeed,MaxWindSpeed,RainDrizzle,Snow,ThunderStorm,Fog,PM 2.5
5.4,9.4,1.7,1014.1,63,5.08,14.8,18.3,35.2,48.2,nan,nan,nan,16.7304347826087
1.7,6.1,-4,1009.2,48,0,16.1,32.2,40.7,57.2,1,nan,nan,10.492307692307692
-7.2,3.9,-9.4,1031.4,45,0,16.1,30.4,40.7,50,nan,nan,nan,9.121428571428572
9.7,16.1,2.8,1023,67,0,14,8.9,14.8,nan,nan,nan,nan,34.65454545454545
14.1,18,11.7,1020.8,66,0,15.9,12.8,25.9,nan,nan,nan,nan,24.107142857142858
12.6,18.9,9.4,1012.2,63,0.51,15,21.9,46.5,63,nan,nan,nan,9.08
5.4,9.4,2.8,1021,58,0,16.1,15.4,31.3,38.9,nan,nan,nan,10.571999999999996
3.6,7,1,1011.6,75,10.92,15.1,16.7,31.3,nan,1,nan,nan,10.35
2.8,4.4,1.1,1009.3,67,0.51,15.9,18.3,27.8,38.9,nan,nan,1,11.913333333333336
2.7,6.7,1,1017.6,35,0,16.1,18.7,27.8,35.2,nan,nan,nan,12.996153846153845
-1.3,3,-6,1016.6,41,0,16.1,29.1,40.7,51.9,nan,nan,nan,12.06153846153846
-5.9,1.7,-8.9,1036.7,37,0,16.1,23.3,31.3,51.9,nan,nan,nan,12.907692307692306
-2,1.7,-5,1023.9,43,0,15.9,25.4,31.3,48.2,1,nan,nan,10.544
-1.3,1.7,-5,1024.7,34,0,16.1,13.3,29.4,35.2,nan,nan,nan,13.46
0.9,3.9,-2.8,1019,55,0,15.8,16.7,24.1,nan,1,nan,nan,13.813333333333334
1.2,10,-1.1,1028.7,28,1.27,16.1,18.9,29.4,40.7,nan,nan,nan,11.118181818181819
2.2,7.2,-1,1027.6,60,0,12.4,23.2,37,50,nan,nan,nan,9.65
6.6,13.3,0.6,1016.7,65,40.39,15,27.4,42.4,59.4,nan,nan,nan,16.807142857142857
4.5,10,0.6,1022.7,60,0,15.3,8.3,20.6,nan,nan,nan,nan,27.704347826086952
6.8,10.6,4,1004.3,70,1.27,13.5,21.5,35.2,50,nan,nan,1,8.764285714285714
4.4,8,2,1014.4,58,0,16.1,13.9,24.1,nan,nan,nan,nan,14.885714285714288
4.8,7.8,2.2,1016,63,0.25,15.4,11.7,20.6,29.4,nan,nan,nan,23.259999999999994
4.5,12.2,-7.2,1008.2,87,21.59,6.3,19.1,38.9,53.5,1,nan,nan,11.393333333333334
2.3,12.2,-1.1,1011.5,57,31.5,16.1,23.9,37,46.5,1,nan,nan,11.986666666666668
4.3,9,1,1019,51,0,16.1,19.4,37,46.5,nan,nan,nan,18.558333333333334
5.1,10.6,3,1007.6,44,1.02,16.1,27.8,38.9,55.4,nan,nan,nan,10.428571428571429
-1.2,3.9,-4,1017.1,36,0,16.1,25,38.9,57.2,nan,nan,nan,10.353333333333335
-2.1,1.1,-6,1026.2,37,0,16.1,18.9,29.4,38.9,nan,nan,nan,9.03076923076923
3.9,9.4,-2.7,1014.4,42,0,16.1,11.7,20.6,27.8,nan,nan,nan,24.5
6.1,9.4,0.6,1007.9,54,3.56,13.2,12.8,27.8,40.7,nan,nan,nan,28.57857142857143
4.9,9,1,995.2,67,1.52,14.2,22.6,38.9,44.3,nan,nan,nan,11.065384615384616
4.1,7.8,-7.2,1016.3,63,7.87,13.5,24.6,38.9,51.9,1,nan,nan,11.292592592592595
2.2,7.8,-1.1,1021.2,42,0.25,16.1,26.9,40.7,53.5,nan,nan,nan,10.806666666666667
6.3,11.1,-1,1024.1,46,0,16.1,15,27.8,35.2,nan,nan,nan,15.333333333333336
4.3,9.4,1.7,1022.2,77,9.91,11.9,15.6,29.4,nan,nan,nan,nan,15.269230769230766
7.4,14,4,1003.9,90,35.81,3.7,20.4,40.7,63,nan,nan,1,8.046666666666667
3.6,12,-1,1011.7,40,22.35,15.8,35.9,55.4,79.5,nan,nan,nan,7.6400000000000015
3.7,8.9,0.6,1014.6,48,0,16.1,18.1,31.3,38.9,nan,nan,nan,12.048148148148153
6.5,11.7,0.6,1010.3,70,0,15,14.4,25.9,nan,nan,nan,nan,17.313333333333336
7.7,12.8,3.9,1004.8,70,3.05,15.6,19.4,31.3,38.9,nan,nan,nan,9.24
6.1,8,5,1017.2,74,6.35,10.1,17.2,22.2,nan,nan,nan,nan,11.659259259259262
8.9,15,5.6,998.8,65,21.08,11.9,32.2,55.4,66.5,nan,nan,nan,7.30625
4.2,15,1.7,1014.2,38,0,16.1,39.8,48.2,64.8,nan,nan,nan,5.025
4.2,9.4,0,1024.5,35,0,16.1,18.5,31.3,40.7,nan,nan,nan,9.235714285714282
9.9,16,5,1016.9,42,0,16.1,24.3,37,51.9,nan,nan,nan,13.4
9.2,15.6,6.7,1017.8,45,0,16.1,7.8,16.5,nan,nan,nan,nan,15.03125
6.8,12.2,-2.1,1033.7,63,3.05,13.4,14.4,20.6,nan,nan,nan,nan,8.725
13.9,16.1,6.1,1016.9,79,2.03,14.8,20.7,27.8,33.5,nan,nan,nan,10.20625
9.4,18,4,1019.4,42,3.81,15.9,32.6,46.5,55.4,nan,1,nan,7.05625
5.7,12.2,1.7,1032.3,25,0,16.1,15.9,29.4,38.9,nan,nan,nan,9.39285714285714
7,10.6,5,1026.7,67,0,16.1,25.4,42.4,nan,nan,nan,nan,8.25625
8.2,12.8,5,1027.4,62,0,16.1,22,31.3,nan,nan,nan,nan,9.646666666666668
8.4,13.3,3.9,1025.3,70,0,15.6,12,16.5,nan,nan,nan,nan,12.7
12.8,23.3,8.3,1003.5,47,0,16.1,21.7,27.8,40.7,nan,nan,nan,4.1066666666666665
8.7,13.3,5,1013.1,35,0,16.1,16.5,25.9,35.2,nan,nan,nan,4.153333333333333
10.3,15,5,1019.8,28,0,16.1,15.9,24.1,27.8,nan,nan,nan,6.848148148148147
15.8,28.3,10,1015.8,54,0,15.6,14.8,25.9,33.5,nan,nan,nan,18.86875
