AvgTemp,MaxTemp,MinTemp,SeaLevelPressure,AvgHumidity,TotalRainfallSnowmelt,AvgVisibility,AvgWindSpeed,MaxWindSpeed,RainDrizzle,Snow,ThunderStorm,Fog,PM 2.5
-2.4,1.7,-4.4,1017.6,56,0,16.1,21.7,31.3,nan,nan,nan,nan,8.213333333333331
-3.9,1.7,-6.1,1023.6,56,0,16.1,19.8,27.8,nan,nan,nan,nan,12.8
-3.8,0,-6.7,1023.7,59,0,16.1,15.6,27.8,nan,nan,nan,nan,24.55
1.6,5.6,-1.1,1009.6,60,0,16.1,13.9,25.9,nan,nan,nan,nan,27.01578947368421
2.1,5.6,-1.1,1010.6,83,nan,10,13,24.1,1,1,nan,nan,34.2
0.1,3.3,-2.2,1008.3,73,7.11,12.2,22.8,31.3,1,1,nan,nan,16.299999999999994
0.9,5.6,-1.7,1026.8,56,0,16.1,10.6,16.5,nan,nan,nan,nan,48.85
2.8,6.1,-1.7,1025.4,66,0,13,7.6,16.5,nan,nan,nan,nan,35.6
2.8,6.1,0,1020.2,84,9.4,6.3,13.5,24.1,1,nan,nan,nan,21.96875
2.2,5,0,1015.2,96,3.05,4.5,14.8,18.3,1,1,nan,nan,18.05
1.9,5,0,1013.6,89,18.8,9.3,19.1,31.3,1,1,nan,nan,11.35
-2,2.8,-5,1013.7,73,10.92,8.7,28.9,42.4,1,1,nan,1,26.06315789473684
2.6,6.7,0,1015.6,61,0.76,13,14.6,33.5,nan,1,nan,nan,19.55
-2.6,3,-6,1023.6,54,0,16.1,18,31.3,nan,nan,nan,nan,23.5
1.3,5,-5.6,1011.8,64,0.76,13.7,17.8,38.9,nan,1,nan,1,11.831578947368422
7.8,12.8,1.7,1001.0,70,4.32,13.7,17.8,42.4,1,nan,nan,nan,19.3
6.3,9.4,3.3,1014.8,56,0,16.1,18.3,24.1,nan,nan,nan,nan,21.1
5.4,9.4,2.8,1016.9,62,nan,15.4,11.9,20.6,1,nan,nan,nan,7.300000000000002
-0.9,7.2,-3.3,1019.9,48,0.51,15.4,27.4,48.2,1,1,nan,nan,15.2
4.7,7.2,2.8,1020.7,55,0,16.1,22.2,31.3,nan,nan,nan,nan,22.0
2.4,6.7,0.6,1031.2,55,0,16.1,15.4,25.9,nan,nan,nan,nan,27.26315789473684
3.6,8.3,0.6,1023.0,85,nan,13.5,14.1,25.9,1,nan,nan,nan,8.9
3.3,9,-1.7,1028.4,66,0.51,14.5,12.2,27.8,1,1,nan,nan,40.8
4.4,8.9,0,1022.8,75,0.76,12.9,13,22.2,1,nan,nan,nan,13.3625
6.9,9,6,1010.7,70,1.78,12.2,15.9,22.2,1,nan,nan,nan,23.0
0.8,6.1,-7.2,1028.2,35,0,16.1,23,35.2,nan,nan,nan,nan,25.5
6.5,12.2,-2.2,1021.0,52,0.76,15.9,17.4,24.1,1,nan,nan,nan,12.931578947368418
6.9,12.2,-2.2,1016.2,46,0.25,16.1,26.7,46.5,nan,nan,nan,nan,10.15
3.3,9.4,-3.3,1026.9,70,0.76,10.5,16.1,29.4,1,1,nan,nan,12.4
8.1,12,4,1014.7,66,13.21,12.6,22.8,35.2,1,nan,nan,nan,15.000000000000005
3.8,11.7,0.6,1021.6,53,0,16.1,17.2,29.4,nan,nan,nan,nan,8.75
-1.1,3,-4,1011.7,41,0,15.9,17.8,27.8,nan,nan,nan,nan,28.816666666666666
1.7,6,-1,1005.2,67,3.3,11.1,12.4,22.2,nan,1,nan,nan,29.3
4.6,7.8,-0.6,1007.5,69,0.25,13.5,11.1,20.6,nan,nan,nan,nan,12.9
1.9,6.1,-3.3,1005.6,66,2.54,15.9,19.3,27.8,nan,nan,nan,nan,16.633333333333336
1.8,4,-1,1016.0,69,0,16.1,12.2,25.9,nan,nan,nan,nan,18.05
3.4,6,2,1011.5,77,0.25,13.2,16.5,31.3,1,nan,nan,nan,13.5
3.7,9,2,1006.5,84,32.26,6.9,19.6,37,1,nan,nan,nan,12.117647058823529
7.4,9,6,1002.0,59,2.54,15.3,24.6,46.5,nan,nan,nan,nan,17.6
8.3,12,6,1013.3,43,0,16.1,15.2,27.8,nan,nan,nan,nan,21.1
5.7,11.1,1.7,1025.5,35,0,16.1,24.4,35.2,nan,nan,nan,nan,9.310526315789474
7.1,12,3,1031.0,42,0,16.1,13.7,20.6,nan,nan,nan,nan,6.75
5.2,11.7,2.8,1023.8,82,0.25,13.8,30.2,64.8,1,nan,nan,nan,7.7
2.6,6.1,-1,1014.5,38,1.52,16.1,26.3,50,nan,nan,nan,nan,14.847368421052632
1.3,5.6,-2,1015.8,59,7.62,11.9,15.6,33.5,nan,1,nan,1,9.3
-0.3,5,-4,1020.7,41,0.76,16.1,27,38.9,nan,nan,nan,nan,14.8
5,8,3,1008.5,87,23.11,15.1,12.8,24.1,1,1,nan,nan,17.373684210526314
4.7,7.2,3,1008.4,93,1.78,13.8,14.8,22.2,1,nan,nan,nan,15.85
4.9,9,3,1011.7,83,0,15.9,15,31.3,nan,nan,nan,nan,14.3
6.9,12,3.9,1018.2,63,0,16.1,17.2,29.4,nan,nan,nan,nan,11.905555555555555
8.9,13,6,1019.1,81,5.59,11.1,17.2,24.1,1,nan,nan,nan,11.75
6.1,12.8,5,1022.2,80,3.3,11.3,17.8,24.1,1,nan,1,nan,38.8
11.9,23.3,5,1010.5,82,nan,5.5,9.3,24.1,1,nan,1,1,12.155555555555555
13.2,21.7,6.1,1009.5,75,1.52,8.2,17.4,37,nan,nan,nan,1,6.0
