AvgTemp,MaxTemp,MinTemp,SeaLevelPressure,AvgHumidity,TotalRainfallSnowmelt,AvgVisibility,AvgWindSpeed,MaxWindSpeed,RainDrizzle,Snow,ThunderStorm,Fog,PM 2.5
6.6,10,4,1017.3,74,1.27,15.9,13.3,22.2,nan,nan,nan,nan,28.5
13,17.2,8.9,1018.4,31,0,16.1,19.6,38.9,48.2,nan,nan,nan,7.35
15,18.9,8.9,1010.8,65,1.78,13.7,17.8,33.5,44.3,nan,nan,nan,9.69375
14.5,18.9,10,1024.5,47,0,15.9,14.4,24.1,29.4,nan,nan,nan,15.25
23.8,33.9,13.9,1013.6,51,0,11.4,12.6,29.4,42.4,nan,nan,nan,18.5
25.6,33.9,13.9,1010.3,57,3.3,12.6,13.1,38.9,70.2,nan,1,nan,20.426666666666673
28.3,33.3,18.9,1005.1,49,0,12.7,21.1,31.3,50,nan,nan,nan,10.55
14.2,17,12,1008.3,88,2.54,13.8,18,31.3,nan,nan,1,1,21.200000000000006
17.2,23.3,12.2,1011.9,57,12.19,13.7,18,25.9,38.9,1,1,nan,12.85625
16.2,23.3,12.2,1017.5,36,0,16.1,15,27.8,35.2,nan,nan,nan,13.05
15.2,25.6,8.9,1016.1,91,29.46,9,20.2,42.4,50,nan,1,nan,5.199999999999998
8.9,17.2,7.8,1020.0,91,12.19,12.6,18.5,33.5,nan,nan,nan,nan,8.799999999999997
11.4,13,10,1018.0,92,11.43,10.1,10.6,14.8,nan,nan,nan,nan,13.6
20.1,27.2,12.8,1000.2,64,3.05,14.5,18,31.3,44.3,nan,1,nan,8.25
19.7,24.4,15.6,1008.7,51,0,16.1,18.7,35.2,40.7,nan,nan,nan,8.557142857142857
18.2,24.4,15,1013.7,58,0,16.1,16.9,24.1,nan,nan,nan,nan,5.6
14.3,19,11,1023.2,70,0,15.1,12,20.6,29.4,nan,nan,nan,42.35
20.2,30.6,11.1,1017.0,67,0,12.1,13,20.6,nan,nan,nan,nan,41.514285714285705
26,33.3,14.4,1013.1,52,nan,13.2,13.7,46.5,70.2,nan,1,nan,18.8
20.9,33.3,16.7,1014.8,56,0.25,15.3,21.9,40.7,48.2,nan,1,nan,11.5
14.2,22.8,10,1014.0,72,64.52,13.2,20.9,29.4,48.2,nan,nan,nan,20.4625
21.1,28.9,10,1018.7,54,0,15.6,11.5,24.1,35.2,nan,nan,nan,12.55
25.8,32.2,15.6,1015.1,50,0,15.3,20.6,31.3,42.4,nan,nan,nan,11.25
14.3,23.3,12.8,1021.9,87,10.92,10.6,17.6,22.2,35.2,nan,nan,nan,12.766666666666667
13.9,17.2,11.7,1022.4,82,0.76,14.6,15,20.6,27.8,nan,nan,nan,18.25
16.1,23.9,11.7,1017.0,91,0.25,7.7,12,16.5,nan,nan,nan,nan,20.6
19.3,23.3,17.8,1018.8,73,2.03,13.2,11.7,16.5,nan,nan,nan,nan,14.512500000000005
22.6,28,19,1019.9,55,0,16.1,11.1,20.6,37,nan,nan,nan,13.1
23.6,27.8,18.3,1016.2,65,0,15.6,20,38.9,50,nan,nan,nan,13.1
25.1,30,19.4,1016.5,79,0,11.3,20.7,37,42.4,nan,nan,nan,12.664285714285715
26.8,31.1,21.7,1013.8,76,nan,14.5,14.8,29.4,nan,nan,1,nan,7.45
27.2,31.7,22.8,1012.1,74,nan,13.2,18.5,35.2,50,nan,1,nan,6.15
23.3,27.8,18.3,1016.0,53,0,16.1,11.9,22.2,nan,nan,nan,nan,7.85625
25,30.6,18.3,1016.7,53,0,16.1,11.3,29.4,nan,nan,nan,nan,8.3
25.2,30.6,20.6,1016.1,68,nan,12.7,15.4,37,51.9,nan,1,nan,13.1
21.3,26.1,17.2,1013.8,50,0,16.1,16.1,29.4,40.7,nan,nan,nan,11.793333333333333
20.6,26,16,1018.7,47,0,16.1,19.1,29.4,40.7,nan,nan,nan,28.1
23.8,28.3,16.1,1016.0,51,0,15.8,15.4,29.4,33.5,nan,nan,nan,10.2
25.2,29.4,19.4,1015.8,43,0,16.1,14.6,29.4,38.9,nan,nan,nan,8.88125
23.3,29.4,20.6,1012.3,60,nan,16.1,17.4,33.5,38.9,nan,1,nan,14.6
21,23,19,1007.9,79,17.02,11.6,21.5,35.2,50,nan,nan,nan,9.5
20.9,33.9,17.8,1014.2,59,0.51,15.3,12.8,25.9,33.5,nan,nan,nan,11.3875
19.5,33.3,16.7,1012.1,69,2.29,16.1,15.6,39.6,nan,nan,nan,nan,14.0
23.1,31.7,17.2,1011.0,65,0,15,21.3,39.6,57.6,nan,nan,nan,11.0
21.9,25,20,1021.7,72,0.25,16.1,14.4,22.2,nan,nan,nan,nan,16.414285714285715
19.6,22.2,18,1023.3,92,36.07,8.2,20.4,27.8,40.7,nan,nan,nan,9.05
20.1,22,19,1019.2,94,86.11,8.7,20.7,27.8,nan,nan,nan,nan,22.8
21.7,25,20,1020.0,94,6.35,6.3,21.5,38.9,40.7,nan,nan,nan,18.19230769230769
20.4,23.3,18.9,1018.2,94,4.06,6.3,20,31.3,nan,nan,nan,nan,21.25
24.9,31.7,18.9,1014.9,83,2.29,5.8,12.4,24.1,nan,nan,1,1,10.5
26.8,31.7,21.1,1014.3,78,7.62,10.8,16.5,20.6,nan,nan,nan,nan,7.435714285714285
27.6,33.3,21.1,1012.1,71,0.76,9.8,20.6,31.3,44.3,nan,nan,nan,6.75
29,33.3,24.4,1012.8,58,0,15,15.7,25.9,33.5,nan,nan,nan,14.35
28.9,32.8,23.9,1011.9,58,1.52,14,15.6,22.2,27.8,nan,nan,nan,8.807142857142857
20.1,22.2,18,1013.9,76,1.52,15.8,24.1,35.2,46.5,nan,nan,nan,20.700000000000006
19.7,23.3,18.3,1014.0,83,1.78,14.6,20,31.3,37,nan,1,nan,37.5
21.5,27,18,1015.8,78,8.13,15,13.3,22.2,27.8,nan,nan,nan,17.638461538461538
20.3,25,17,1015.3,66,3.56,15.3,15.6,24.1,nan,nan,nan,nan,11.6
20.7,23.9,17,1020.8,48,0,16.1,14.4,24.1,31.3,nan,nan,nan,14.15
19.7,24,16,1024.8,51,0,16.1,13.7,22.2,nan,nan,nan,nan,15.461538461538463
23.6,27.8,20,1016.7,62,0,13.2,11.9,18.3,nan,nan,nan,nan,14.0
23.8,28.3,20,1015.3,57,0,14.2,8.7,18.3,nan,nan,nan,nan,3.6
24.6,29.4,20.6,1014.1,67,0,11.7,12.6,18.3,nan,nan,nan,nan,6.416666666666665
23.9,29,22,1021.6,90,0.25,9,14.4,20.6,nan,nan,nan,1,27.65
25.8,29.4,21.7,1019.9,84,0.51,14.8,12,22.2,nan,nan,nan,nan,31.85
25.8,30.6,23.9,1015.8,85,1.52,11.1,9.8,25.9,nan,nan,1,nan,19.992857142857144
25.7,30.6,23.9,1012.5,85,3.56,10.5,7.6,22.2,nan,nan,1,nan,9.45
18.4,23,16,1028.1,61,0,16.1,10.6,24.1,nan,nan,nan,nan,8.2
20.1,26,16,1021.0,67,0,16.1,17.8,22.2,29.4,nan,nan,nan,17.907142857142855
23.7,30,16.1,1018.5,71,nan,10.9,9.6,18.3,29.4,nan,nan,nan,19.5
24.2,28.9,21.7,1012.6,72,0.76,14.2,16.1,25.9,33.5,nan,nan,nan,12.95
