AvgTemp,MaxTemp,MinTemp,SeaLevelPressure,AvgHumidity,TotalRainfallSnowmelt,AvgVisibility,AvgWindSpeed,MaxWindSpeed,RainDrizzle,Snow,ThunderStorm,Fog,PM 2.5
2.3,6.1,0,1014.7,79,3.56,13.8,9.1,16.5,nan,nan,nan,nan,23.450000000000006
5.9,8.3,0.6,1022.3,66,0,14.5,7,20.6,nan,nan,nan,nan,19.450000000000006
3.9,8.3,2.2,1013.4,86,31.5,9.5,30.6,46.5,57.2,1,nan,nan,5.75
-0.8,6.7,-3.3,1011.9,50,0,16.1,20.9,31.3,42.4,nan,nan,nan,11.25
3.7,8,1,1016.4,51,0,15.8,12.4,20.6,nan,1,nan,nan,16.669230769230772
9,16,5,1015.7,61,0,15.8,14.3,24.1,33.5,nan,nan,nan,16.9
8.6,15,5,1014.7,75,0,9.3,10.4,16.5,nan,nan,nan,1,22.7
11.3,13.9,5,995.1,92,16.26,7.2,21.3,38.9,57.2,nan,1,1,7.207692307692307
-1.3,6.1,-5,995.7,60,18.29,11.7,38.2,50,74.1,1,nan,1,3.6
4.5,16.1,1.7,1021.1,43,12.45,16.1,23.5,48.2,57.2,nan,nan,nan,13.8
9.2,16.1,6,1022,50,0,16.1,15.2,22.2,nan,nan,nan,nan,14.692857142857141
11.1,18,7,1017.2,55,0,16.1,18.9,64.8,83.2,nan,nan,nan,12.6
5.2,8.3,1.7,1002.8,60,0,16.1,23,33.5,46.5,nan,nan,nan,9.5
1.2,6.7,-1.1,1015.7,52,0,16.1,34.8,48.2,61.1,nan,nan,nan,6.669230769230769
-0.6,6.1,-4,1031.8,43,0,16.1,20.4,31.3,38.9,nan,nan,nan,10.75
5.2,6.1,3.9,1005.2,84,0.51,9.7,25.6,38.9,42.4,nan,nan,1,8.25
4.2,7.2,2.8,1012,60,0.76,16.1,23.5,33.5,42.4,nan,nan,nan,7.628571428571428
5.9,11,3,1015.4,60,0,15.4,12.8,25.9,35.2,nan,nan,nan,22.3
11.5,17.2,3.3,1008.5,76,6.35,11.9,23.5,46.5,59.4,nan,nan,nan,12.85
3.6,7,1,1011.1,40,0,16.1,25.7,38.9,51.9,nan,nan,nan,8.357142857142858
1.1,6.7,-1.1,1016,49,0,16.1,20.7,29.4,40.7,nan,nan,nan,7.45
-0.6,2.2,-4,1016.1,42,0,16.1,19.4,25.9,33.5,nan,nan,nan,5.9
-1.8,2.2,-5,1010.4,55,4.57,15.9,22.2,33.5,38.9,nan,nan,nan,15.453846153846152
1.8,5,-5.5,1016.4,51,0,16.1,20.7,27.8,38.9,nan,nan,nan,22.9
5.3,12,2,1021.8,58,0,15.4,11.9,16.5,nan,nan,nan,nan,34.1
-6,2.2,-8.3,1027.1,37,0,16.1,25.2,40.7,55.4,nan,nan,nan,9.2
-1.6,3,-4,1021.7,32,0,16.1,18.3,25.9,35.2,nan,nan,nan,14.5
2.5,5,-3.8,1015,34,0,16.1,18.1,31.3,44.3,nan,nan,nan,21.0
1.8,10,-2,1020.9,37,0,16.1,23,46.5,53.5,nan,nan,nan,8.021428571428572
-2.9,5,-7,1018.4,43,0,16.1,37.6,48.2,70.2,nan,nan,nan,3.85
-4.7,-0.6,-7,1017.4,40,0,16.1,30.2,40.7,51.9,nan,nan,nan,5.5
0.9,6,-2,1011.1,35,0,16.1,22.4,35.2,40.7,nan,nan,nan,6.85
1.3,6.1,-1.6,1007.6,55,6.86,11.3,9.8,20.6,nan,1,nan,1,18.85
-1.3,1,-4,1009.5,55,0,15.9,30.2,46.5,61.1,nan,nan,nan,7.1416666666666675
3.6,8,0,1018.6,43,0,16.1,13.3,22.2,27.8,nan,nan,nan,7.15
