Date_time,Daily_Mean_PM2.5_Concentration
2019-01-01,7.972727272727273
2019-01-02,8.572727272727272
2019-01-03,8.083333333333334
2019-01-04,12.761538461538457
2019-01-05,8.566666666666666
2019-01-06,8.950000000000001
2019-01-07,5.858333333333333
2019-01-08,11.075000000000001
2019-01-09,5.3149999999999995
2019-01-10,6.3538461538461535
2019-01-11,7.384615384615386
2019-01-12,6.442105263157894
2019-01-13,6.984615384615385
2019-01-14,8.315384615384614
2019-01-15,12.51
2019-01-16,13.423076923076925
2019-01-17,6.541666666666668
2019-01-18,13.889473684210529
2019-01-19,8.761538461538462
2019-01-20,5.8307692307692305
2019-01-21,5.52
2019-01-22,7.876923076923077
2019-01-23,8.008333333333335
2019-01-24,5.433333333333334
2019-01-25,8.558333333333334
2019-01-26,8.3
2019-01-27,8.475
2019-01-28,9.03846153846154
2019-01-29,10.407692307692308
2019-01-30,9.110526315789473
2019-01-31,8.284615384615385
2019-02-01,9.692307692307692
2019-02-02,16.56
2019-02-03,20.50769230769231
2019-02-04,19.23076923076923
2019-02-05,18.157894736842106
2019-02-06,5.507692307692308
2019-02-07,5.8999999999999995
2019-02-08,6.049999999999999
2019-02-09,5.207692307692307
2019-02-10,5.569230769230769
2019-02-11,10.557894736842107
2019-02-12,4.1
2019-02-13,6.7250000000000005
2019-02-14,7.968421052631579
2019-02-15,10.45
2019-02-16,6.641666666666667
2019-02-17,4.911111111111111
2019-02-18,6.976923076923078
2019-02-19,5.315384615384615
2019-02-20,7.325
2019-02-21,6.746153846153845
2019-02-22,9.892307692307693
2019-02-23,7.877777777777778
2019-02-24,4.661538461538461
2019-02-25,6.9923076923076914
2019-02-26,5.463157894736842
2019-02-27,4.041666666666667
2019-02-28,6.946153846153847
2019-03-01,8.96842105263158
2019-03-02,8.746153846153847
2019-03-03,9.453846153846154
2019-03-04,6.705
2019-03-05,7.846153846153845
2019-03-06,7.692307692307693
2019-03-07,9.963157894736842
2019-03-08,11.215384615384616
2019-03-09,14.584615384615386
2019-03-10,9.059999999999999
2019-03-11,6.823076923076924
2019-03-12,6.383333333333334
2019-03-13,9.088888888888887
2019-03-14,6.981818181818183
2019-03-15,11.708333333333334
2019-03-16,3.142105263157895
2019-03-17,3.441666666666667
2019-03-18,4.791666666666666
2019-03-19,6.6000000000000005
2019-03-20,8.76153846153846
2019-03-21,5.484615384615385
2019-03-22,2.955
2019-03-23,3.923076923076923
2019-03-24,4.384615384615384
2019-03-25,7.447368421052632
2019-03-26,3.161538461538462
2019-03-27,4.338461538461538
2019-03-28,5.675
2019-03-29,9.992307692307692
2019-03-30,9.838461538461537
2019-03-31,7.805263157894737
2019-04-01,3.761538461538462
2019-04-02,4.330769230769231
2019-04-03,5.815789473684211
2019-04-04,4.138461538461538
2019-04-05,5.0076923076923086
2019-04-06,6.768421052631578
2019-04-07,8.084615384615384
2019-04-08,9.03846153846154
2019-04-09,7.970000000000001
2019-04-10,2.6916666666666664
2019-04-11,4.1499999999999995
2019-04-12,6.7105263157894735
2019-04-13,9.808333333333334
2019-04-14,5.141666666666667
2019-04-15,2.994736842105263
2019-04-16,2.5500000000000003
2019-04-17,2.684615384615384
2019-04-18,7.355555555555556
2019-04-19,9.299999999999999
2019-04-20,6.199999999999999
2019-04-21,5.747368421052632
2019-04-22,5.491666666666667
2019-04-23,5.999999999999999
2019-04-24,3.7777777777777777
2019-04-25,3.7916666666666665
2019-04-26,3.436363636363636
2019-04-27,3.0833333333333335
2019-04-28,3.8818181818181814
2019-04-29,3.6727272727272733
2019-04-30,7.131578947368421
2019-05-01,3.523076923076922
2019-05-02,9.600000000000001
2019-05-03,8.34
2019-05-04,8.576923076923077
2019-05-05,1.9307692307692306
2019-05-06,3.794444444444445
2019-05-07,4.883333333333333
2019-05-08,4.5249999999999995
2019-05-09,4.45
2019-05-10,6.46923076923077
2019-05-11,3.538461538461539
2019-05-12,1.9473684210526316
2019-05-13,1.9000000000000001
2019-05-14,2.776923076923077
2019-05-15,4.0200000000000005
2019-05-16,6.6
2019-05-17,11.400000000000002
2019-05-18,5.0210526315789465
2019-05-19,7.246153846153846
2019-05-20,8.792307692307693
2019-05-21,1.9499999999999997
2019-05-22,3.2416666666666667
2019-05-23,5.646153846153846
2019-05-24,4.026315789473684
2019-05-25,2.0000000000000004
2019-05-26,6.507692307692306
2019-05-27,4.575
2019-05-28,7.523076923076923
2019-05-29,4.008333333333333
2019-05-30,5.822222222222222
2019-05-31,8.191666666666666
2019-06-01,10.76153846153846
2019-06-02,10.833333333333332
2019-06-03,2.7846153846153845
2019-06-04,3.0307692307692307
2019-06-05,11.86842105263158
2019-06-06,6.518181818181819
2019-06-07,8.041666666666666
2019-06-08,6.005
2019-06-09,3.0461538461538464
2019-06-10,3.3461538461538467
2019-06-11,2.222222222222222
2019-06-12,2.3333333333333335
2019-06-13,1.3545454545454545
2019-06-14,3.4199999999999995
2019-06-15,5.1692307692307695
2019-06-16,9.566666666666665
2019-06-17,7.973684210526316
2019-06-18,8.284615384615384
2019-06-19,3.190909090909091
2019-06-20,6.18
2019-06-21,2.2833333333333337
2019-06-22,1.9769230769230772
2019-06-23,3.3526315789473684
2019-06-24,8.946153846153846
2019-06-25,10.283333333333333
2019-06-26,7.95
2019-06-27,5.346153846153846
2019-06-28,7.56153846153846
2019-06-29,11.421052631578949
2019-06-30,3.484615384615385
2019-07-01,3.038461538461538
2019-07-02,7.990000000000002
2019-07-03,13.546153846153846
2019-07-04,20.775000000000002
2019-07-05,9.994736842105263
2019-07-06,7.066666666666666
