,AvgTemp,MaxTemp,MinTemp,SeaLevelPressure,AvgHumidity,TotalRainfallSnowmelt,AvgVisibility,AvgWindSpeed,MaxWindSpeed,RainDrizzle,Snow,ThunderStorm,Fog,PM 2.5
50,14.4,21.7,5.6,1012.1,41.0,0.0,16.1,18.3,42.4,53.5,0.0,0.0,0.0,10.5
51,14.1,19.4,10.0,1005.8,68.0,0.0,13.7,26.1,55.4,68.3,0.0,0.0,0.0,9.400000000000002
52,6.4,14.0,0.0,999.5,68.0,3.3,10.5,31.5,50.0,64.8,1.0,0.0,0.0,7.4
53,6.2,9.0,3.0,1032.6,38.0,0.0,16.1,18.3,35.2,50.0,0.0,0.0,0.0,4.699999999999998
54,7.9,11.7,3.3,1030.0,45.0,0.0,16.1,14.8,25.9,31.3,0.0,0.0,0.0,7.33125
55,9.9,12.8,5.0,1023.1,80.0,0.76,9.7,10.4,20.6,44.2945648182152,0.0,0.0,0.0,6.35
56,8.9,15.0,4.4,1016.5,80.0,2.03,13.7,22.4,37.0,46.5,0.0,0.0,0.0,20.35
57,11.9,16.1,6.1,1017.6,71.0,0.0,15.4,13.5,24.1,44.2945648182152,0.0,0.0,0.0,7.093333333333334
58,9.1,11.0,7.0,1011.8,87.0,0.25,9.2,24.8,57.2,68.3,0.0,1.0,0.0,9.7
59,11.4,19.4,7.8,1013.1,54.0,0.0,16.1,19.3,31.3,44.2945648182152,0.0,0.0,0.0,22.8
60,7.7,13.3,5.6,1015.6,60.0,0.0,15.9,23.7,33.5,40.7,0.0,0.0,0.0,28.866666666666664
61,6.6,10.0,4.0,1017.3,74.0,1.27,15.9,13.3,22.2,44.2945648182152,0.0,0.0,0.0,28.5
62,13.0,17.2,8.9,1018.4,31.0,0.0,16.1,19.6,38.9,48.2,0.0,0.0,0.0,7.35
63,15.0,18.9,8.9,1010.8,65.0,1.78,13.7,17.8,33.5,44.3,0.0,0.0,0.0,9.69375
64,14.5,18.9,10.0,1024.5,47.0,0.0,15.9,14.4,24.1,29.4,0.0,0.0,0.0,15.25
65,23.8,33.9,13.9,1013.6,51.0,0.0,11.4,12.6,29.4,42.4,0.0,0.0,0.0,18.5
66,25.6,33.9,13.9,1010.3,57.0,3.3,12.6,13.1,38.9,70.2,0.0,1.0,0.0,20.426666666666673
67,28.3,33.3,18.9,1005.1,49.0,0.0,12.7,21.1,31.3,50.0,0.0,0.0,0.0,10.55
68,14.2,17.0,12.0,1008.3,88.0,2.54,13.8,18.0,31.3,44.2945648182152,0.0,1.0,1.0,21.200000000000006
69,17.2,23.3,12.2,1011.9,57.0,12.19,13.7,18.0,25.9,38.9,1.0,1.0,0.0,12.85625
70,16.2,23.3,12.2,1017.5,36.0,0.0,16.1,15.0,27.8,35.2,0.0,0.0,0.0,13.05
71,15.2,25.6,8.9,1016.1,91.0,29.46,9.0,20.2,42.4,50.0,0.0,1.0,0.0,5.199999999999998
72,8.9,17.2,7.8,1020.0,91.0,12.19,12.6,18.5,33.5,44.2945648182152,0.0,0.0,0.0,8.799999999999997
73,11.4,13.0,10.0,1018.0,92.0,11.43,10.1,10.6,14.8,44.2945648182152,0.0,0.0,0.0,13.6
74,20.1,27.2,12.8,1000.2,64.0,3.05,14.5,18.0,31.3,44.3,0.0,1.0,0.0,8.25
75,19.7,24.4,15.6,1008.7,51.0,0.0,16.1,18.7,35.2,40.7,0.0,0.0,0.0,8.557142857142857
76,18.2,24.4,15.0,1013.7,58.0,0.0,16.1,16.9,24.1,44.2945648182152,0.0,0.0,0.0,5.6
77,14.3,19.0,11.0,1023.2,70.0,0.0,15.1,12.0,20.6,29.4,0.0,0.0,0.0,42.35
78,20.2,30.6,11.1,1017.0,67.0,0.0,12.1,13.0,20.6,44.2945648182152,0.0,0.0,0.0,41.514285714285705
79,26.0,33.3,14.4,1013.1,52.0,0.0,13.2,13.7,46.5,70.2,0.0,1.0,0.0,18.8
80,20.9,33.3,16.7,1014.8,56.0,0.25,15.3,21.9,40.7,48.2,0.0,1.0,0.0,11.5
81,14.2,22.8,10.0,1014.0,72.0,64.52,13.2,20.9,29.4,48.2,0.0,0.0,0.0,20.4625
82,21.1,28.9,10.0,1018.7,54.0,0.0,15.6,11.5,24.1,35.2,0.0,0.0,0.0,12.55
83,25.8,32.2,15.6,1015.1,50.0,0.0,15.3,20.6,31.3,42.4,0.0,0.0,0.0,11.25
84,14.3,23.3,12.8,1021.9,87.0,10.92,10.6,17.6,22.2,35.2,0.0,0.0,0.0,12.766666666666667
85,13.9,17.2,11.7,1022.4,82.0,0.76,14.6,15.0,20.6,27.8,0.0,0.0,0.0,18.25
86,16.1,23.9,11.7,1017.0,91.0,0.25,7.7,12.0,16.5,44.2945648182152,0.0,0.0,0.0,20.6
87,19.3,23.3,17.8,1018.8,73.0,2.03,13.2,11.7,16.5,44.2945648182152,0.0,0.0,0.0,14.512500000000005
88,22.6,28.0,19.0,1019.9,55.0,0.0,16.1,11.1,20.6,37.0,0.0,0.0,0.0,13.1
89,23.6,27.8,18.3,1016.2,65.0,0.0,15.6,20.0,38.9,50.0,0.0,0.0,0.0,13.1
90,25.1,30.0,19.4,1016.5,79.0,0.0,11.3,20.7,37.0,42.4,0.0,0.0,0.0,12.664285714285715
91,26.8,31.1,21.7,1013.8,76.0,0.0,14.5,14.8,29.4,44.2945648182152,0.0,1.0,0.0,7.45
92,27.2,31.7,22.8,1012.1,74.0,0.0,13.2,18.5,35.2,50.0,0.0,1.0,0.0,6.15
93,23.3,27.8,18.3,1016.0,53.0,0.0,16.1,11.9,22.2,44.2945648182152,0.0,0.0,0.0,7.85625
94,25.0,30.6,18.3,1016.7,53.0,0.0,16.1,11.3,29.4,44.2945648182152,0.0,0.0,0.0,8.3
95,25.2,30.6,20.6,1016.1,68.0,0.0,12.7,15.4,37.0,51.9,0.0,1.0,0.0,13.1
96,21.3,26.1,17.2,1013.8,50.0,0.0,16.1,16.1,29.4,40.7,0.0,0.0,0.0,11.793333333333333
97,20.6,26.0,16.0,1018.7,47.0,0.0,16.1,19.1,29.4,40.7,0.0,0.0,0.0,28.1
98,23.8,28.3,16.1,1016.0,51.0,0.0,15.8,15.4,29.4,33.5,0.0,0.0,0.0,10.2
99,25.2,29.4,19.4,1015.8,43.0,0.0,16.1,14.6,29.4,38.9,0.0,0.0,0.0,8.88125
100,23.3,29.4,20.6,1012.3,60.0,0.0,16.1,17.4,33.5,38.9,0.0,1.0,0.0,14.6
101,21.0,23.0,19.0,1007.9,79.0,17.02,11.6,21.5,35.2,50.0,0.0,0.0,0.0,9.5
102,20.9,33.9,17.8,1014.2,59.0,0.51,15.3,12.8,25.9,33.5,0.0,0.0,0.0,11.3875
103,19.5,33.3,16.7,1012.1,69.0,2.29,16.1,15.6,39.6,44.2945648182152,0.0,0.0,0.0,14.0
104,23.1,31.7,17.2,1011.0,65.0,0.0,15.0,21.3,39.6,57.6,0.0,0.0,0.0,11.0
105,21.9,25.0,20.0,1021.7,72.0,0.25,16.1,14.4,22.2,44.2945648182152,0.0,0.0,0.0,16.414285714285715
106,19.6,22.2,18.0,1023.3,92.0,36.07,8.2,20.4,27.8,40.7,0.0,0.0,0.0,9.05
107,20.1,22.0,19.0,1019.2,94.0,86.11,8.7,20.7,27.8,44.2945648182152,0.0,0.0,0.0,22.8
108,21.7,25.0,20.0,1020.0,94.0,6.35,6.3,21.5,38.9,40.7,0.0,0.0,0.0,18.19230769230769
109,20.4,23.3,18.9,1018.2,94.0,4.06,6.3,20.0,31.3,44.2945648182152,0.0,0.0,0.0,21.25
110,24.9,31.7,18.9,1014.9,83.0,2.29,5.8,12.4,24.1,44.2945648182152,0.0,1.0,1.0,10.5
111,26.8,31.7,21.1,1014.3,78.0,7.62,10.8,16.5,20.6,44.2945648182152,0.0,0.0,0.0,7.435714285714285
112,27.6,33.3,21.1,1012.1,71.0,0.76,9.8,20.6,31.3,44.3,0.0,0.0,0.0,6.75
113,29.0,33.3,24.4,1012.8,58.0,0.0,15.0,15.7,25.9,33.5,0.0,0.0,0.0,14.35
114,28.9,32.8,23.9,1011.9,58.0,1.52,14.0,15.6,22.2,27.8,0.0,0.0,0.0,8.807142857142857
115,20.1,22.2,18.0,1013.9,76.0,1.52,15.8,24.1,35.2,46.5,0.0,0.0,0.0,20.700000000000006
116,19.7,23.3,18.3,1014.0,83.0,1.78,14.6,20.0,31.3,37.0,0.0,1.0,0.0,37.5
117,21.5,27.0,18.0,1015.8,78.0,8.13,15.0,13.3,22.2,27.8,0.0,0.0,0.0,17.638461538461538
118,20.3,25.0,17.0,1015.3,66.0,3.56,15.3,15.6,24.1,44.2945648182152,0.0,0.0,0.0,11.6
119,20.7,23.9,17.0,1020.8,48.0,0.0,16.1,14.4,24.1,31.3,0.0,0.0,0.0,14.15
120,19.7,24.0,16.0,1024.8,51.0,0.0,16.1,13.7,22.2,44.2945648182152,0.0,0.0,0.0,15.461538461538465
121,23.6,27.8,20.0,1016.7,62.0,0.0,13.2,11.9,18.3,44.2945648182152,0.0,0.0,0.0,14.0
122,23.8,28.3,20.0,1015.3,57.0,0.0,14.2,8.7,18.3,44.2945648182152,0.0,0.0,0.0,3.6
123,24.6,29.4,20.6,1014.1,67.0,0.0,11.7,12.6,18.3,44.2945648182152,0.0,0.0,0.0,6.416666666666665
124,23.9,29.0,22.0,1021.6,90.0,0.25,9.0,14.4,20.6,44.2945648182152,0.0,0.0,1.0,27.65
125,25.8,29.4,21.7,1019.9,84.0,0.51,14.8,12.0,22.2,44.2945648182152,0.0,0.0,0.0,31.85
126,25.8,30.6,23.9,1015.8,85.0,1.52,11.1,9.8,25.9,44.2945648182152,0.0,1.0,0.0,19.992857142857144
127,25.7,30.6,23.9,1012.5,85.0,3.56,10.5,7.6,22.2,44.2945648182152,0.0,1.0,0.0,9.45
128,18.4,23.0,16.0,1028.1,61.0,0.0,16.1,10.6,24.1,44.2945648182152,0.0,0.0,0.0,8.2
129,20.1,26.0,16.0,1021.0,67.0,0.0,16.1,17.8,22.2,29.4,0.0,0.0,0.0,17.907142857142855
130,23.7,30.0,16.1,1018.5,71.0,0.0,10.9,9.6,18.3,29.4,0.0,0.0,0.0,19.5
131,24.2,28.9,21.7,1012.6,72.0,0.76,14.2,16.1,25.9,33.5,0.0,0.0,0.0,12.95
132,21.8,26.7,17.2,1014.8,61.0,0.0,15.9,13.3,22.2,27.8,0.0,0.0,0.0,11.45
133,21.2,26.1,17.2,1005.1,70.0,20.83,12.7,19.1,25.9,37.0,0.0,1.0,0.0,5.0
134,20.8,25.0,16.7,1016.3,73.0,2.03,11.7,14.6,35.2,42.4,0.0,1.0,0.0,7.899999999999999
