Date,Daily_Mean_PM2.5_Concentration
1/1/2016,8.3
1/1/2016,3.7
1/1/2016,1.6
1/1/2016,7.6
1/1/2016,4
1/1/2016,7.5
1/1/2016,6.9
1/1/2016,3.3
1/1/2016,0
1/1/2016,3.5
1/1/2016,11.9
1/1/2016,5.2
1/1/2016,8.4
1/1/2016,4.6
1/1/2016,8.6
1/1/2016,7.1
1/1/2016,7.5
1/1/2016,3.2
1/1/2016,1.6
1/2/2016,10.5
1/2/2016,4.2
1/2/2016,10.6
1/2/2016,10.4
1/2/2016,9.9
1/2/2016,17.7
1/2/2016,10.8
1/2/2016,11.4
1/2/2016,10.2
1/2/2016,10.7
1/2/2016,6.6
1/2/2016,6.6
1/3/2016,12.1
1/3/2016,5.3
1/3/2016,11.9
1/3/2016,11.3
1/3/2016,11
1/3/2016,22.4
1/3/2016,12.2
1/3/2016,12.5
1/3/2016,12.4
1/3/2016,11.1
1/3/2016,7.9
1/3/2016,7.5
1/4/2016,10.8
1/4/2016,3.5
1/4/2016,1
1/4/2016,9.8
1/4/2016,4.1
1/4/2016,9.2
1/4/2016,8.3
1/4/2016,3.6
1/4/2016,3.3
1/4/2016,3.7
1/4/2016,11.5
1/4/2016,5.1
1/4/2016,9.2
1/4/2016,4.4
1/4/2016,9.5
1/4/2016,8.8
1/4/2016,3.5
1/4/2016,2.5
1/5/2016,12.9
1/5/2016,4.4
1/5/2016,16
1/5/2016,11.3
1/5/2016,11.2
1/5/2016,12.4
1/5/2016,11.3
1/5/2016,11.3
1/5/2016,12.7
1/5/2016,6
1/5/2016,4.9
1/6/2016,15.6
1/6/2016,9.5
1/6/2016,18.4
1/6/2016,12.4
1/6/2016,13.2
1/6/2016,20.3
1/6/2016,13.9
1/6/2016,14.4
1/6/2016,13.9
1/6/2016,14.9
1/6/2016,13.1
1/7/2016,18
1/7/2016,22.2
1/7/2016,21.5
1/7/2016,24.5
1/7/2016,23.5
1/7/2016,18.6
1/7/2016,20.7
1/7/2016,26.1
1/7/2016,23.2
1/7/2016,22.5
1/7/2016,22.7
1/7/2016,24.2
1/7/2016,19.9
1/7/2016,26.8
1/7/2016,22
1/7/2016,18.8
1/7/2016,22
1/7/2016,27
1/7/2016,28.1
1/8/2016,12
1/8/2016,14.1
1/8/2016,13.4
1/8/2016,13.4
1/8/2016,16.4
1/8/2016,24.7
1/8/2016,14
1/8/2016,15.7
1/8/2016,13.2
1/8/2016,9.5
1/8/2016,10.7
1/9/2016,11.3
1/9/2016,10.7
1/9/2016,11
1/9/2016,11.7
1/9/2016,13.6
1/9/2016,17.6
1/9/2016,13
1/9/2016,14.1
1/9/2016,12.4
1/9/2016,6.5
1/9/2016,6.7
1/10/2016,6.7
1/10/2016,3.3
1/10/2016,1.8
1/10/2016,6.1
1/10/2016,3.5
1/10/2016,5.6
1/10/2016,5.4
1/10/2016,3.2
1/10/2016,3.5
1/10/2016,2.8
1/10/2016,9.3
1/10/2016,4.5
1/10/2016,7.7
1/10/2016,4.7
1/10/2016,7.9
