Date,Daily_Mean_PM2.5_Concentration
1/1/2007,9.4
1/1/2007,13.6
1/1/2007,13
1/1/2007,11.9
1/1/2007,12.9
1/1/2007,12.1
1/1/2007,12.1
1/1/2007,16.9
1/1/2007,13.6
1/1/2007,13.8
1/1/2007,11.2
1/1/2007,15.2
1/1/2007,11.4
1/1/2007,6.9
1/1/2007,11.3
1/2/2007,3.7
1/2/2007,8.6
1/2/2007,10.7
1/2/2007,10.4
1/2/2007,10
1/2/2007,10.7
1/2/2007,9.7
1/2/2007,12.8
1/2/2007,12.4
1/2/2007,9.6
1/2/2007,10.2
1/2/2007,11.1
1/2/2007,10.7
1/2/2007,3.1
1/2/2007,8.6
1/3/2007,14.3
1/3/2007,13.9
1/3/2007,13.2
1/3/2007,13.3
1/3/2007,16.7
1/3/2007,14.2
1/3/2007,19
1/3/2007,13.2
1/3/2007,13.9
1/3/2007,17.2
1/3/2007,12.9
1/3/2007,16.2
1/3/2007,12.4
1/3/2007,16.2
1/3/2007,14.1
1/3/2007,13
1/3/2007,17.3
1/3/2007,19.2
1/3/2007,21.5
1/3/2007,17.2
1/3/2007,15.2
1/3/2007,17.4
1/3/2007,16.4
1/3/2007,10.6
1/3/2007,15.7
1/3/2007,10.9
1/4/2007,17.4
1/4/2007,21.8
1/4/2007,23.8
1/4/2007,21
1/4/2007,18.9
1/4/2007,20.4
1/4/2007,21.4
1/4/2007,25.1
1/4/2007,22.4
1/4/2007,25.6
1/4/2007,21.7
1/4/2007,21.5
1/4/2007,19.9
1/4/2007,16.9
1/4/2007,20.3
1/5/2007,14.2
1/5/2007,17.9
1/5/2007,20.1
1/5/2007,17.9
1/5/2007,14.3
1/5/2007,15.5
1/5/2007,17.9
1/5/2007,21.1
1/5/2007,17
1/5/2007,15.5
1/5/2007,17
1/5/2007,16
1/5/2007,15.4
1/5/2007,10.2
1/5/2007,14.8
1/6/2007,9.7
1/6/2007,7.3
1/6/2007,6.7
1/6/2007,6.7
1/6/2007,11.6
1/6/2007,7.9
1/6/2007,12.1
1/6/2007,12.3
1/6/2007,11.8
1/6/2007,11.1
1/6/2007,6.2
1/6/2007,9
1/6/2007,7.6
1/6/2007,10.7
1/6/2007,5.5
1/6/2007,13.2
1/6/2007,13.6
1/6/2007,13.1
1/6/2007,11.1
1/6/2007,8.7
1/6/2007,13.9
1/6/2007,11.1
1/6/2007,5
1/6/2007,10.5
1/6/2007,5.7
1/7/2007,5
1/7/2007,9.1
1/7/2007,9
1/7/2007,8.6
1/7/2007,8.9
1/7/2007,8.8
1/7/2007,8.8
1/7/2007,10
1/7/2007,9.7
1/7/2007,9.4
1/7/2007,8.5
1/7/2007,11.1
1/7/2007,8.6
1/7/2007,3.8
1/7/2007,8.7
1/8/2007,6.5
1/8/2007,10.1
1/8/2007,10.2
1/8/2007,10.7
1/8/2007,9.1
1/8/2007,9.1
1/8/2007,9.1
1/8/2007,12.9
1/8/2007,10.8
1/8/2007,10.9
1/8/2007,9.6
1/8/2007,10.9
1/8/2007,9.6
1/8/2007,4.3
1/8/2007,8.7
1/9/2007,10.1
1/9/2007,9.4
1/9/2007,8.9
1/9/2007,8.9
1/9/2007,12
1/9/2007,14.8
1/9/2007,11.9
1/9/2007,11.9
1/9/2007,11.4
1/9/2007,11.5
1/9/2007,8.7
1/9/2007,11.9
1/9/2007,8.9
1/9/2007,11.5
1/9/2007,10.4
1/9/2007,9.2
1/9/2007,9.1
1/9/2007,14.3
1/9/2007,13.1
1/9/2007,12.7
1/9/2007,11.4
1/9/2007,12.2
1/9/2007,12
1/10/2007,4.2
1/10/2007,9.7
1/10/2007,10.6
1/10/2007,10.2
1/10/2007,9.7
1/10/2007,9.8
1/10/2007,10.3
1/10/2007,12.6
1/10/2007,13.3
1/10/2007,9.2
1/10/2007,11.2
1/10/2007,3.6
1/10/2007,8.7
1/11/2007,10.6
1/11/2007,13.1
1/11/2007,14.5
1/11/2007,14.1
1/11/2007,12
1/11/2007,11.2
1/11/2007,12.3
1/11/2007,15.3
1/11/2007,13.6
1/11/2007,13.6
1/11/2007,13.9
