Date,Daily_Mean_PM2.5_Concentration
1/1/2013,8.8
1/1/2013,14.9
1/1/2013,11
1/1/2013,13.9
1/1/2013,14
1/1/2013,15.5
1/1/2013,9
1/1/2013,9
1/1/2013,13.5
1/1/2013,18.6
1/1/2013,10.6
1/1/2013,11.8
1/1/2013,16.1
1/1/2013,9.5
1/1/2013,9.1
1/2/2013,12.6
1/2/2013,12.2
1/2/2013,10.8
1/2/2013,14.9
1/2/2013,12.5
1/2/2013,5.5
1/3/2013,14.1
1/3/2013,15.6
1/3/2013,13.7
1/3/2013,18.1
1/3/2013,10.8
1/3/2013,14.4
1/3/2013,13
1/4/2013,15.7
1/4/2013,17.3
1/4/2013,17.3
1/4/2013,15.4
1/4/2013,11
1/4/2013,15.5
1/4/2013,15.5
1/4/2013,20.8
1/4/2013,20.8
1/4/2013,14.6
1/4/2013,14.4
1/4/2013,16.1
1/4/2013,15.8
1/4/2013,14.6
1/4/2013,17
1/5/2013,20.1
1/5/2013,13.2
1/5/2013,18.6
1/5/2013,13.4
1/5/2013,12.8
1/5/2013,15.1
1/5/2013,11
1/6/2013,25.8
1/6/2013,16.7
1/6/2013,22.1
1/6/2013,17.6
1/6/2013,15
1/6/2013,16.7
1/6/2013,20.3
1/7/2013,12.3
1/7/2013,12.5
1/7/2013,32.9
1/7/2013,14.4
1/7/2013,10.4
1/7/2013,11
1/7/2013,15.4
1/7/2013,18.2
1/7/2013,11.8
1/7/2013,14.5
1/7/2013,12.8
1/7/2013,12.7
1/7/2013,15.7
1/7/2013,11.8
1/7/2013,13.5
1/8/2013,29.6
1/8/2013,18.1
1/8/2013,23.2
1/8/2013,21.1
1/8/2013,17.3
1/8/2013,19.1
1/8/2013,19.8
1/9/2013,38.2
1/9/2013,22.8
1/9/2013,28.1
1/9/2013,24.7
1/9/2013,23.1
1/9/2013,26.6
1/10/2013,5.7
1/10/2013,7.1
1/10/2013,22.9
1/10/2013,9.8
1/10/2013,5.2
1/10/2013,5.5
1/10/2013,4.9
1/10/2013,8.4
1/10/2013,12.6
1/10/2013,7.4
1/10/2013,10.1
1/10/2013,7.1
1/10/2013,9.4
1/10/2013,5.4
1/10/2013,7.6
1/11/2013,16.4
1/11/2013,16.4
1/11/2013,8.5
1/11/2013,12.9
1/11/2013,11.6
1/11/2013,12.6
1/11/2013,6.3
